"PROLIFIC_PID","Group","prop_correct","practice_prop"
"5c7ccbfe371d1d0015bcabc0","Restudy",1,NA
"65a3f461bfa22dde98c10436","Restudy",0.428571428571429,NA
"5eeb2b8a36774c27657f227c","Restudy",0.785714285714286,NA
"5f0766baa1aa2f12767758cd","SAQ",0.571428571428571,0.29
"566d5997d408ea00051a2a86","Restudy",0.785714285714286,NA
"5ca5fb084f3e9d0015440d1d","SAQ",0.785714285714286,0.54
"5ea59ffb9325e15853a82d84","SAQ",0.857142857142857,0.62
"63f38f6346a5beb76cb2a3b8","Restudy",0.857142857142857,NA
"6440ec657d3df6f5223edc73","Restudy",0.214285714285714,NA
"672b24390a9c197eb61f2f72","SAQ",0.714285714285714,0.44
"587249a2e9cb31000195ed09","Restudy",0.714285714285714,NA
"5cc052c9a1e263001715594d","Restudy",0.714285714285714,NA
"6310a5c786d2abda637997c0","Restudy",0.714285714285714,NA
"5afbf02302b1b5000103e313","SAQ",0.857142857142857,0.59
"653fed546a45118a32fe378e","Restudy",0.428571428571429,NA
"663ccb353b6d9966bcce762a","SAQ",1,0.67
"66def1304e37adb3349f648f","Restudy",0.857142857142857,NA
"661403131cecbe255b64ca6f","Restudy",0.857142857142857,NA
"66ef36768bc403140fa01e35","SAQ",0.857142857142857,0.61
"5efcb50255a06b097b8d5d29","Restudy",0.857142857142857,NA
"5e3906b9a6df461259c0632f","Restudy",0.714285714285714,NA
"5bf2f728bd9f150001f6cc42","SAQ",0.642857142857143,0.41
"5f919274b5383b00096b0295","SAQ",0.5,0.15
"614825d01815f41fe66dda75","Restudy",0.357142857142857,NA
"5d41925ef7b99500012b960e","SAQ",0.857142857142857,0.69
"5eaec18fbb7b8901200d16dd","SAQ",0.928571428571429,0.79
"5c6e60b04e08ad00018cc995","SAQ",0.642857142857143,0.76
"62d6d7815de3a8625be3c0de","Restudy",0.857142857142857,NA
"5cdd4befd3651c001950e539","Restudy",0.642857142857143,NA
"5bb7abf3c190e20001e5c2c8","SAQ",0.928571428571429,0.48
"671a5785170a0f6380c51f28","SAQ",0.642857142857143,0.67
"60f5d1dfd8ff71196982160b","SAQ",0.571428571428571,0.18
"5e25bb2adb62ba80c1c8571a","SAQ",0.714285714285714,0.53
"5d3821f0ddea5a0001757f93","Restudy",0.5,NA
"573dbfc9cc30e7000dc57410","SAQ",0.785714285714286,0.38
"5fd76b7d246a3705a25c9a94","Restudy",0.928571428571429,NA
"5dab79a5525a7600139cd31e","Restudy",0.428571428571429,NA
"6773f9ecbf8a434754bdbdab","SAQ",0.785714285714286,0.39
"5db1b1b6cd3329000ba29566","SAQ",0.928571428571429,0.51
"577a0a7aadbc7500015d2479","SAQ",0.785714285714286,0.42
"5eb29fdddac67500082c1089","Restudy",0.785714285714286,NA
"66742c4307bb2004831faaef","SAQ",0.642857142857143,0.27
"5c72af4a04d7bc00013899b3","SAQ",0.928571428571429,0.64
"5eeb58ec4c86582a76ff55ec","Restudy",0.5,NA
"5ea7e9f15bc7011d31958608","SAQ",0.428571428571429,0.32
"56bbad070b36c4000b4d4ef9","SAQ",0.642857142857143,0.31
"671d39090c9e2ad9ec75a03c","SAQ",0.5,0.29
"601ecf037d641438c0840330","SAQ",0.857142857142857,0.49
"681b781064a5701a5ceee3bc","Restudy",0.928571428571429,NA
"5e1b6da99debf5393dfba2dc","SAQ",0.857142857142857,0.7
"5f25681567da711e51c043ab","Restudy",0.571428571428571,NA
"6767202a0793489cda4738d2","SAQ",0.642857142857143,0.51
"5c158ec0c6b01c0001bcfa72","Restudy",0.5,NA
"6329c13285c93cafdf51ed77","Restudy",1,NA
"5d59cb467ca41f0001e97e1f","SAQ",0.642857142857143,0.52
"5f3013e31c8a690aacb02c31","SAQ",0.785714285714286,0.43
"632361bf965e0257e6052357","Restudy",0.928571428571429,NA
"5c8b065abd96ce0001947d1b","Restudy",0.857142857142857,NA
"55d5b77ddb6a810006fa05d5","Restudy",1,NA
"672cc816106e96c0344581bb","SAQ",0.785714285714286,0.65
"61f2ad75a09e72f23cbaf8a0","SAQ",0.714285714285714,0.55
"571bdaa76b0894001362f780","SAQ",0.714285714285714,0.54
"6658b67d487ff144dc527a40","SAQ",0.357142857142857,0.22
"6278f2c1db1a5b8b12b94a21","SAQ",0.857142857142857,0.81
"5ce65c39baebc8001939a3ab","Restudy",0.428571428571429,NA
"59d3ef2c078dbe000195117f","Restudy",0.714285714285714,NA
"58bef6fd31de840001e84ba0","Restudy",0.714285714285714,NA
"6530316e660f5b8d9c11c00e","Restudy",0.928571428571429,NA
"5cadbee8470c560001de5739","Restudy",1,NA
"5ca73fcf7067e70001f7a41f","Restudy",0.357142857142857,NA
"650864268a31fd9d2b8f84ee","SAQ",0.785714285714286,0.49
"58d9300e33fef3000118a808","Restudy",0.857142857142857,NA
"5d7e3844fc5b4b0001bb0e1b","SAQ",0.642857142857143,0.4
"5e203085ac30fa331b586690","Restudy",0.714285714285714,NA
"5737270f14f69e000d7bc08a","SAQ",0.857142857142857,0.53
"5ebc0abd2cc5f1054c82a0d7","SAQ",0.642857142857143,0.43
"62b055a21e169809861b173d","Restudy",0.5,NA
"6659a3110ccaa9dc948dc808","SAQ",0.714285714285714,0.68
"673261aea87e76010a5c969a","SAQ",0.857142857142857,0.76
"6157040a78451d0e36577a2a","Restudy",0.571428571428571,NA
"597a72293a82ba000141d7b0","SAQ",0.785714285714286,0.49
"60ddc62b071a009e0b0c2922","Restudy",0.5,NA
"594a8e2eeaa18e000163f6cd","Restudy",0.571428571428571,NA
"66084cde8c8b94db6ce51ac9","Restudy",0.428571428571429,NA
"688a3a2e3d58984958a6e2f7","SAQ",0.428571428571429,0.55
"5f7750471fcf840f542f6081","Restudy",0.5,NA
"582f8bbd4cadc80001b0fbd3","Restudy",0.142857142857143,NA
"62a338fe5f31e62c27dc5e66","Restudy",0.857142857142857,NA
"6297560d968633ad5b83b745","Restudy",0.642857142857143,NA
"603836f34e3f321dbba51e02","SAQ",0.642857142857143,0.78
"644805884189b40893adfa53","SAQ",0.642857142857143,0.21
"5e7dfc715acd1402882e93eb","SAQ",1,0.59
"67334911eb1de6dd02fc126a","Restudy",0.285714285714286,NA
"62b74ec256808d84b3e691d6","SAQ",1,0.59
"5bddfba7712eb800010d3a61","Restudy",0.714285714285714,NA
"654e37a130d94b47675dcebe","Restudy",0.857142857142857,NA
"5db1dbb351eb21000c443e58","Restudy",0.5,NA
"5ef0fcea28006f6b24913b02","Restudy",0.714285714285714,NA
"5bb535574cb73b00011437d0","SAQ",0.785714285714286,0.53
"5e56ac24ce30ae0632e2fe0a","Restudy",0.428571428571429,NA
"67838f3e71616a9dcc042173","SAQ",0.571428571428571,0.61
"62b6eacb30532251b7eb05c1","Restudy",0.714285714285714,NA
