"PROLIFIC_PID","Group","prop_correct","practice_prop"
"5ee4a14b578f8a000b384376","elaboratedexplanation",0.75,NA
"681f421f57f106703aeaf6e8","retrievalpractice",0.85,0.95
"612f5beeadebe8b6969dc5a9","elaboratedexplanation",0.5,NA
"6658c4239af9537eefdfbcc9","elaboratedexplanation",0.35,NA
"5d1a1d97a51463000183f7af","retrievalpractice",0.85,0.95
"67607e34fb2abbf20ec24851","elaboratedexplanation",0.55,NA
"66640059232bcc6a15b24803","retrievalpractice",0.8,0.9
"5bb48501d3be310001c1afeb","retrievalpractice",0.9,0.9
"5ecf5a78ba30501d2ca5e34b","retrievalpractice",0.6,0.8
"66d44140d05dc9d8c9889ed2","retrievalpractice",0.2,0.15
"651c1d7524852e9f9d614ce3","retrievalpractice",0.55,0.7
"59e7232f24d7bf00012f112e","elaboratedexplanation",0.55,NA
"5ec569b654c5b852e7502a54","retrievalpractice",0.55,0.7
"5aae93f5fb22320001baaaac","elaboratedexplanation",0.6,NA
"5987030cfd8cca00015cbc26","retrievalpractice",0.55,0.55
"60eaeaa416ee31f32d13393c","elaboratedexplanation",0.7,NA
"5eaadc0a7adeb404eea9c3c0","elaboratedexplanation",0.45,NA
"65537e14439274fe5036b4d2","elaboratedexplanation",0.75,NA
"67e282f63445e665072a9861","elaboratedexplanation",0.65,NA
"65804dc6b00fe596b885c595","retrievalpractice",0.5,0.65
"60154af277ec314fd8fe1449","retrievalpractice",0.45,0.85
"610a879e6500d1d653b3da54","retrievalpractice",0.55,0.95
"5ced66139b5b490001b688ed","elaboratedexplanation",0.6,NA
"5edca29654fe059801608fc0","retrievalpractice",0.3,0.65
"5caccbc4976d010014b9cd9d","retrievalpractice",0.65,0.8
"6673e154af89f4f85eaa7c73","retrievalpractice",0.75,0.95
"5c50efd2cc71f4000125ce0d","retrievalpractice",0.15,0.55
"5fe0b183d8918b2030aa99a0","elaboratedexplanation",0.8,NA
"65787269e68b8f57359ac1ab","retrievalpractice",0.9,1
"611e4473b1bc14664b7aa068","retrievalpractice",0.45,0.65
"5ed01d3049ff960da5db12a5","elaboratedexplanation",0.8,NA
"5c5cad3e4ee81200018eafe2","elaboratedexplanation",0.65,NA
"62c862b854735cb56e44ae1f","retrievalpractice",0.3,0.6
"61026015b70c93b95254a4ca","elaboratedexplanation",0.75,NA
"672f779907ad8e74fb666bef","elaboratedexplanation",0.5,NA
"6720fbc84253185973cbe564","retrievalpractice",0.85,0.8
"62d59b380be0866cf039e0ee","retrievalpractice",0.35,0.55
"66f0765bb7f6c2ae6ef721ee","retrievalpractice",0.35,0.45
"669a80310e64395f4edd70b6","elaboratedexplanation",0.35,NA
"5edeea354d54cb1a825aa8f9","elaboratedexplanation",0.55,NA
"66d1a9db2911b86aa59b4378","elaboratedexplanation",0.7,NA
"6773d42d35be03a65cf4b3e1","retrievalpractice",0.65,0.65
"67c60b46b619cad09b65ab51","elaboratedexplanation",0.5,NA
"60819ba1a8862e33495f8914","retrievalpractice",0.65,0.85
