"Participant.ID","Group","prop_correct","practice_prop"
"5d542c3a5af5900019bc80c4","Restudy",0.55,NA
"5c60501d767686000100150c","Restudy",0.5,NA
"59e7232f24d7bf00012f112e","Retrieval",0.45,0.75
"66854df2e5fef4239ff63a7d","Restudy",0.6,NA
"56aa2ab9402d62000c7096f2","Retrieval",0.4,0.65
"6023f94d1951e70ae21770ec","Restudy",0.9,NA
"5c88cfc680858000011363df","Retrieval",0.85,0.85
"5d8b66f5d189bd001a378273","Retrieval",0.5,0.85
"5978f6f009bdcf000153f43d","Retrieval",0.55,0.9
"6725c4a8e3ab0787551acf38","Retrieval",0.5,0.75
"5d0e091ccd9c9300191cb9c9","Restudy",0.6,NA
"5e9593f997af0e19c6073957","Retrieval",0.85,0.9
"682b3f63d0e2c4eff64fe664","Retrieval",0.7,0.75
"5e19b24b2bf9512392d6dd90","Restudy",0.5,NA
"5f6f2da91b5cc64887afd65d","Retrieval",0.8,0.9
"677a8e5affbe5673b3a79e6b","Restudy",0.55,NA
"67665f7b0329bd3e30515ad2","Retrieval",0.5,0.95
"5f57be602095072bb238a7ab","Restudy",0.55,NA
"5827634ea80bf4000199994b","Restudy",0.45,NA
"6637ab2fc7718b737f6c33c0","Retrieval",0.6,0.9
"6704539fe462b87182866f14","Restudy",0.7,NA
"592a8ee1dd1a250001b4ee72","Retrieval",0.5,0.95
"6229dc51dff340226697778e","Restudy",0.8,NA
"61671a9d42eb53946faa44c2","Retrieval",0.45,0.6
"6695991a6db58bdcd2d1e388","Restudy",0.65,NA
"59ff1a23f2e3460001eda6d5","Restudy",0.4,NA
"5a6725d4c0d836000107f6e7","Retrieval",0.55,0.7
"67c60b46b619cad09b65ab51","Restudy",0.35,NA
"65bd88a029ae8413e1281c7b","Restudy",0.45,NA
"654a44f0addb5f41f1705b75","Retrieval",0.55,0.9
"6108f72b081cf2b1cbde83aa","Restudy",0.4,NA
"671038fb26ff82aa6081d040","Retrieval",0.45,0.75
"67c5d7d4bfda0ffd6d9a5ef8","Retrieval",0.75,0.95
"6783ebc2e89b75d66d952f41","Restudy",0.4,NA
"57bafa6cc308ca00014527c2","Restudy",0.65,NA
"674377f77b539c33d343553c","Retrieval",0.75,0.65
"66cb2e0bd2169db778550269","Retrieval",0.7,0.8
"660eb0b257ea5439cd5e020a","Restudy",0.5,NA
"632b3639f61612815d100608","Retrieval",0.5,0.65
"6702f60844f21087e0840e3d","Retrieval",0.55,0.55
"5aead25562ac0e00010974b1","Restudy",0.8,NA
"5cd310705882710018e544b0","Retrieval",0.7,1
"56b78f11e77ebe000cbefe79","Restudy",0.65,NA
"65c8d7f023278532f6f49139","Restudy",0.55,NA
"677723f5cb416c3806aaf069","Restudy",0.5,NA
"5eca536f9aa4f658d641a7d9","Restudy",0.5,NA
"5e3c4d1621c442033da7bcd8","Restudy",0.5,NA
"5e98ccf370194e0f49a1333b","Retrieval",0.55,0.8
"66e2abbef5fe9e10f5bff804","Restudy",0.65,NA
"6710a58eeff954cb2243950e","Retrieval",0.35,0.75
"5970ccd08df9300001dab39d","Retrieval",0.4,0.6
"63ea46ac57c552d3b4ff83bc","Retrieval",0.8,0.8
"5e70bd5480f43a0009625d4c","Restudy",0.35,NA
"59feed1da383a100011b3eaa","Restudy",0.75,NA
"5a9fa90f873cda00010d29d8","Retrieval",0.35,0.75
"55d51a6b8ce09000127d4821","Restudy",0.8,NA
"665af670c32544bf63236164","Retrieval",0.65,0.9
"56ca3e3237d66c000c59a891","Restudy",0.3,NA
"63af557b3d4f219c3226b7d6","Restudy",0.75,NA
"672d2977ae54935ef84a2b74","Retrieval",0.4,0.45
"596155a998cf77000106f8d8","Retrieval",0.6,0.9
"60ed501279c68ea1a313d0aa","Retrieval",0.55,0.7
"5b13da851e55760001ba009a","Retrieval",0.35,0.25
"67e2b6561ccb8f5bb055cc85","Retrieval",0.55,0.75
"627e7e91d0e389328983e765","Restudy",0.6,NA
"668173a56ae4ada528986b1d","Restudy",0.65,NA
"6753746b1f8827e2bd586bf0","Restudy",0.25,NA
"581ccd016c73180001fa5b2a","Retrieval",0.75,0.9
"669a80310e64395f4edd70b6","Retrieval",0.45,0.8
"68022f459a6e791147ee95b1","Restudy",0.9,NA
"5dc04aba55b86247c9991f89","Retrieval",0.5,0.9
