StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form,Prolific ID,Age,Gender ,Instructions check,Q1 ,Q2,Q3,Q4,Q5 ,Q6 ,Q7,Q8,Q9,Q10,Q11,Q12,Q13 ,Q14 ,Q15,Q16,Q17 ,Q18 ,Q19 ,Q20,Prior knowledge_1,JOL _1,Prior knowledge_1,JOL_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19 ,Q20,Prior knowledge_1,JOL_1,Prior knowledge_1,JOL_1,SC0,PROLIFIC_PID,RunningScore,QuestionCount,FL_14_DO,"RetrievalPractice,StemCells_DO","ElaboratedExplanation,StemCells_DO","RetrievalPractice,Psychedelics_DO","ElaboratedExplanation,Psychedelics_DO"
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"CONSENT FORM FOR ADULTS IN ONLINE RESEARCH STUDIES



Please complete this form after you have read the Information Sheet.



____________________________________________________________________________

Title of Study: 

Learning, Memory, and Cognition ____________________________________________________________________________

Department:

Experimental Psychology ____________________________________________________________________________

Name and Contact Details of the Principal Researcher: 

Prof David Shanks

Dept of Experimental Psychology, UCL

26 Bedford Way, London WC1H 0AP

d.shanks@ucl.ac.uk

____________________________________________________________________________

Name and Contact Details of the UCL Data Protection Officer: 

data-protection@ucl.ac.uk

____________________________________________________________________________

This study has been approved by the UCL Research Ethics Committee: Project ID number: 

0334

____________________________________________________________________________



Thank you for considering taking part in this research. If you have any questions arising from the Information Sheet, please contact the researcher before you decide whether to participate.



I confirm that I understand that by ticking/initialling each box below I am consenting to this element of the study. I understand that it will be assumed that unticked/initialled boxes means that I DO NOT consent to that part of the study. I understand that by not giving consent for any one element that I may be deemed ineligible for the study.","Please provide your Prolific ID

Please note that this response should auto-fill with the correct ID.",What is your age?,What is your gender?,I have read and understood the above instructions,A lab wants to study a rare genetic heart condition. Why would creating iPSCs from a patient be more advantageous than using generic embryonic stem cells for this purpose?,A scientist successfully reprograms a skin cell into an iPSC. What is the most significant implication of this for creating a disease model of motor neuron disease (MND)?,"A ""disease in a dish"" model for motor neuron disease (MND) is created. What new insight could this model reveal that was previously difficult to study?","A research team develops a ""disease in a dish"" model for a specific type of dementia. Which of the following statements describe valid applications for this model?

	Statement 1: To observe how the disease unfolds in living human cells.
	Statement 2: To test thousands of drug compounds for potential efficacy.
	Statement 3: To identify which genetic subtypes are most vulnerable to the disease.
	Statement 4: To immediately cure the patient from whom the cells were taken.","The speaker highlights the 99% failure rate in drug development. Based on the talk, which factor is a primary cause of this inefficiency?",How would widespread use of human stem cell models most likely change the current drug development paradigm described in the video?,A new cardiac drug shows excellent results in a clinical trial conducted in Europe. Why might a doctor be cautious prescribing it to a patient of East Asian descent?,"The speaker criticizes the ""one-size-fits-all"" model of medicine. Which outcome is a direct consequence of this flawed model?","The NYSCF aims to create a global array of stem cell ""avatars"". What is the primary strategic purpose of ensuring this array is genetically diverse?","A pharmaceutical company uses a stem cell ""avatar"" array to test a new neurological drug. What question can they answer more effectively than with traditional methods?",The speaker mentions a gap between academic research and industry. Which statement best analyzes why an organization like the NYSCF is positioned to bridge this gap?,"According to the speaker, why might large, established organizations struggle in a new field like stem cell research?","What is the main limitation of making stem cell lines ""by hand, one at a time"" that automation directly addresses?","A lab wants to build a genetically diverse library of 1,000 stem cell lines. Why is automation essential for achieving this goal?","The speaker compares using stem cell models to having a ""black box"" for a plane crash. What does this analogy suggest about studying diseases?",The discovery that a second cell type contributes to motor neuron death in the ALS model best illustrates the power of stem cells to:,The video compares the challenges facing stem cell research to the early days of IVF. What is the most likely purpose of this comparison?,"What was the primary motivation for establishing ""private, safe-haven laboratories"" for stem cell research, as described in the video?",The case of Vioxx revealed that a drug can have serious side effects in a subset of the population. How could a stem cell array have changed this outcome?,A company has a drug that failed trials for arthritis but seems to affect liver cells. How could a stem cell platform be used in this situation?,Please answer the following question: - How well did you know the information in the video prior to watching it?,Please answer the following question: - How well do you think you will remember the video in 48 hours' time?,Please answer the following question: - How well did you know the information in the video prior to watching it?,Please answer the following question: - How well do you think you will remember the video in 48 hours' time?,Which factor was most pivotal in transforming the political view of psychedelics from promising research tools to dangerous substances in the 1970s?,The speaker implies the decades-long ban on psychedelic research was tragic primarily because it…,"A researcher wants to design a new study using psilocybin. Based on the speaker's perspective, which of the following would be the most critical design element?","The speaker's statement, ""psychedelics are really just tools,"" suggests that their ultimate value is determined by the...",What can be inferred about the primary impact of the speaker's early psychedelic experiences?,The speaker contrasts his psychedelic experiences with his Bar Mitzvah to argue that...,"The ""global renaissance of psychedelic research"" described in the talk is primarily characterized by its focus on...",What best justifies the current renewed scientific interest in psychedelics after decades of being banned?,"According to the talk, how does psychedelic-assisted psychotherapy primarily differ from conventional psychiatric medication?","Which statement(s) accurately reflect the therapeutic applications of psychedelics discussed in the talk?

	Statement 1: They show promise for treating PTSD and depression.
	Statement 2: They can be helpful for social anxiety and substance abuse.
	Statement 3: They are most effective as a daily symptom-reducing medication
	Statement 4: They are primarily used to enhance spiritual experiences in healthy people.",The speaker compares the effect of classic psychedelics on the ego to the Copernican revolution. This analogy highlights a shift from...,The therapeutic benefit of reducing activity in the brain's Default Mode Network (DMN) is likely that it...,"In the context of PTSD therapy, how do the neurological effects of MDMA create an optimal state for processing trauma?","Which statement(s) correctly describe the neurological effects of MDMA as presented in the talk?

 

	Statement 1: It increases activity in the prefrontal cortex.
	Statement 2: It decreases activity in the fear-processing amygdala.
	Statement 3: It increases connectivity between the amygdala and hippocampus.
	Statement 4: It releases the ""love and nurturing"" hormone, oxytocin.","Why is the ""inner-directed"" therapeutic approach, combined with MDMA, considered crucial for treating trauma?",A clinic wants to replicate the MDMA-assisted psychotherapy model from the talk. Which of these components is essential to their protocol?,What is the most significant implication of the finding that 68% of participants no longer had PTSD 12 months after MDMA-assisted therapy?,"The FDA granting ""Breakthrough Therapy Designation"" for MDMA-assisted psychotherapy suggests the agency believes the treatment...","Based on the speaker's vision, what would a future psychedelic therapy clinic most likely offer?",The speaker's strategy of working through the FDA drug development process is best described as an attempt to...,Please answer the following question: - How well did you know the information in the video prior to watching it?,Please answer the following question: - How well do you think you will remember the video in 48 hours' time?,Please answer the following question: - How well did you know the information in the video prior to watching it?,Please answer the following question: - How well do you think you will remember the video in 48 hours' time?,Score,PROLIFIC_PID,RunningScore,QuestionCount,FL_14 - Block Randomizer - Display Order,"Retrieval Practice, Stem Cells - Display Order","Elaborated Explanation, Stem Cells - Display Order","Retrieval Practice, Psychedelics - Display Order","Elaborated Explanation, Psychedelics - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID157_TEXT""}","{""ImportId"":""QID179_TEXT""}","{""ImportId"":""QID180""}","{""ImportId"":""QID18""}","{""ImportId"":""QID12""}","{""ImportId"":""QID19""}","{""ImportId"":""QID25""}","{""ImportId"":""QID37""}","{""ImportId"":""QID42""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID58""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""SC_23vC4bifGQ7v5ie""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""RunningScore""}","{""ImportId"":""QuestionCount""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""BL_8cCx1M501GJDBX0_DO""}","{""ImportId"":""BL_9phCwemqNGtIOlE_DO""}","{""ImportId"":""BL_899n0eBoMLVi6Gi_DO""}","{""ImportId"":""BL_6FfqOaRDiUXZaaq_DO""}"
26/06/2025 05:05,26/06/2025 05:27,IP Address,100,1275,TRUE,26/06/2025 05:27,R_296yhI0vg3pL9IQ,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",57655a2aea19ef00016351cf,52,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,2,60,,,,,,,,,,,,,,,,,,,,,,,,,0,57655a2aea19ef00016351cf,0,0,"ElaboratedExplanation,StemCells",,Instructions|Video |Instructions|E4|E19|E17|E5|E2|E10 |E20 |E14|E16|E1|E12 |E7 |E6|E9|E11|E3|E15|E13 |E8|E18|Prior knowledge|JOL|Instructions,,
26/06/2025 05:06,26/06/2025 05:27,IP Address,100,1253,TRUE,26/06/2025 05:27,R_8ToIzJLEhLYMomZ,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",676056c4ad585b4aeebf6154,20,Female,Yes,(c) iPSCs are less controversial because they are derived from adult skin tissue.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(a) They lack the laboratory space to conduct cutting-edge experiments.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(b) To protect valuable intellectual property from competing pharmaceutical companies.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,16,676056c4ad585b4aeebf6154,16,20,"RetrievalPractice,StemCells",Instructions|Video|Instructions|Q8|Q6 |Q5 |Q10|Q3|Q20|Q4|Q18 |Q7|Q15|Q14 |Q2|Q13 |Q17 |Q9|Q19 |Q16|Q12|Q1 |Q11|Prior knowledge|JOL |Instructions ,,,
26/06/2025 05:06,26/06/2025 05:27,IP Address,100,1289,TRUE,26/06/2025 05:27,R_8P5ElTKXp9QZJN7,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",66d44140d05dc9d8c9889ed2,42,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,(b) A lack of scientific evidence for any therapeutic benefit.,(d) halted progress on a promising mental health treatment approach.,(c) Creating a supportive therapeutic context for administration.,(d) dosage administered in a given session.,(c) They caused him significant psychological distress.,(b) his family was not sufficiently supportive of his religious upbringing.,"(a) rigorous, scientific validation of therapeutic potential.",(a) A societal shift towards favouring recreational drug use.,(d) It works by suppressing difficult emotions and symptoms.,(a) Statement 1 only,(b) a state of confusion to one of logical clarity.,"(d) enhances the creation of a stable, personal narrative.",(b) By sedating the patient to prevent emotional recall.,"(c) Statements 1, 3 and 4",(d) It focuses the therapy exclusively on external coping mechanisms.,(b) Conducting drug sessions without any therapist present.,(d) The therapy works better than any other treatment available.,(d) has completed all necessary research and is ready for market.,(b) Self-administered psychedelic kits for home use.,(d) prove that psychotherapy is unnecessary for the drugs to work,1,10,,,3,66d44140d05dc9d8c9889ed2,3,20,"RetrievalPractice,Psychedelics",,,Instructions|Video|Instructions|Q15|Q5|Q2|Q4|Q18|Q10|Q8|Q20|Q3|Q1|Q9|Q16|Q17|Q19 |Q13|Q7|Q6|Q12|Q11|Q14|Prior knowledge|JOL|Instructions,
26/06/2025 05:07,26/06/2025 05:29,IP Address,100,1306,TRUE,26/06/2025 05:29,R_877qnGfdVXm4a3f,anonymous,EN,0,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",67d9fd7ad09a3cfeec820358,51,Male,Yes,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(d) It proves that skin cells and motor neurons share the same biological function.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(d) The strict government regulations that prevent most new drugs from being approved.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(c) They operate under different government regulations than academic labs.,(a) They lack the laboratory space to conduct cutting-edge experiments.,(c) The manual process is too dangerous for lab technicians.,"(a) Automated systems can reprogram cells without using viruses, making them safer.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(c) Eliminate the need for animal testing in all medical research.,(d) To highlight that both fields rely on the same laboratory techniques and equipment.,(b) To protect valuable intellectual property from competing pharmaceutical companies.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,8,67d9fd7ad09a3cfeec820358,8,20,"RetrievalPractice,StemCells",Instructions|Video|Instructions|Q4|Q14 |Q5 |Q2|Q6 |Q20|Q13 |Q10|Q7|Q15|Q17 |Q18 |Q12|Q16|Q9|Q11|Q19 |Q8|Q3|Q1 |Prior knowledge|JOL |Instructions ,,,
26/06/2025 05:10,26/06/2025 05:30,IP Address,100,1196,TRUE,26/06/2025 05:30,R_222AylrwsJL9FN7,anonymous,EN,0.100000001,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5d8b66f5d189bd001a378273,47,Female,Yes,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,0,5d8b66f5d189bd001a378273,0,0,"ElaboratedExplanation,StemCells",,Instructions|Video |Instructions|E20 |E19|E8|E15|E10 |E14|E5|E9|E7 |E2|E13 |E11|E16|E18|E6|E17|E4|E12 |E3|E1|Prior knowledge|JOL|Instructions,,
26/06/2025 05:10,26/06/2025 05:31,IP Address,100,1258,TRUE,26/06/2025 05:31,R_2uXa7RPyeTq6bjn,anonymous,EN,0.800000012,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5d1a1d97a51463000183f7af,31,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,(a) Their association with counterculture and anti-war movements.,(d) halted progress on a promising mental health treatment approach.,(c) Creating a supportive therapeutic context for administration.,(b) intention and context of their application.,(d) They provided a profound emotional and spiritual connection.,(c) psychedelics can facilitate experiences that traditional rituals may not.,"(a) rigorous, scientific validation of therapeutic potential.",(b) Compelling preliminary data on safety and efficacy for mental illness.,(b) It aims to address the root causes of disorders.,(c) Statements 1 and 2,(a) a self-centered perspective to a broader awareness.,"(d) enhances the creation of a stable, personal narrative.",(d) By reducing fear while increasing cognitive function,"(d) Statements 1, 2, 3 and 4",(a) It empowers the patient to access their own healing intelligence.,(c) Including non-drug psychotherapy sessions for integration.,(a) The therapeutic benefits appear to be durable and lasting.,(b) may offer a substantial improvement over existing therapies.,"(c) Medically supervised sessions for specific, approved conditions.",(a) re-establish psychedelics' legitimacy within the medical system.,1,60,,,19,5d1a1d97a51463000183f7af,19,20,"RetrievalPractice,Psychedelics",,,Instructions|Video|Instructions|Q3|Q11|Q16|Q10|Q2|Q12|Q19 |Q15|Q4|Q14|Q17|Q7|Q5|Q1|Q20|Q18|Q13|Q8|Q6|Q9|Prior knowledge|JOL|Instructions,
26/06/2025 05:12,26/06/2025 05:33,IP Address,100,1271,TRUE,26/06/2025 05:33,R_21H6DJtSJGPbGi9,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",614ee866eb22f6b60f499a91,60,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,2,70,,,,,,,,,,,,,,,,,,,,,,,,,0,614ee866eb22f6b60f499a91,0,0,"ElaboratedExplanation,StemCells",,Instructions|Video |Instructions|E18|E20 |E12 |E13 |E17|E2|E14|E5|E4|E3|E19|E9|E15|E7 |E11|E10 |E8|E16|E1|E6|Prior knowledge|JOL|Instructions,,
26/06/2025 05:09,26/06/2025 05:33,IP Address,100,1406,TRUE,26/06/2025 05:33,R_21b9mLPqHvPyVQv,anonymous,EN,0.899999976,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",67607e34fb2abbf20ec24851,41,Male,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,0,67607e34fb2abbf20ec24851,0,0,"ElaboratedExplanation,Psychedelics",,,,Instructions|Video|Instructions|E19|E7|E20|E18|E1|E5|E9|E17|E14|E11|E8|E13|E15|E4|E16|E10|E6|E12|E3|E2|Prior knowledge|JOL|Q140
