StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant ID,Q1,Q2 ,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,SC0,PROLIFIC_PID,FL_14_DO,PsychedelicsFinalTest_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Please provide your Prolific ID

Please note that this response should auto-fill with the correct ID.",What fundamental capability do psychedelics offer for studying the mind?,"The term ""mind-manifesting"" suggests that psychedelic experiences largely stem from:","Considering the backlash of psychedelics research in the past, what lesson could we learn to guide the development of new and potentially controversial drugs?",What would be the most impactful societal consequence during the ban on psychedelics?,The effectiveness of psychedelics are more variable than fixed because of:,"Which factor(s) were NOT mentioned by the speaker as relevant in ensuring the effectiveness of psychedelics? 

 

	
	
		
		
			Statement 1: The specific type and potency of the psychedelic
			Statement 2: The user's mentality and environment in which psychedelics are taken.
			Statement 3: The duration and frequency of which the user is exposed to psychedelics.
			Statement 4: The legality of the psychedelic in the given jurisdiction.","How might the ""feeling of our shared humanity"" induced by psychedelics help address fundamentalism and tribalism?","The speaker's personal journey into psychedelic research, following his own experiences, illustrates their capacity to:",What is the key difference between psychedelic-assisted psychotherapy and conventional psychiatric drug treatments?,The structured approach of psychedelic therapy (few drug sessions with integration) is designed primarily to:,"Marcela's story, contrasting her recreational MDMA use with its therapeutic potential, primarily demonstrates that:","In the ""inner-directed therapy"" approach with MDMA, the therapist's main function is to:",Modulating the Default Mode Network (DMN) with psychedelics could be therapeutically beneficial by:,"If the Default Mode Network (DMN) acts as a ""filter"" for our experience, its temporary reduction might result in:",What combination of MDMA-induced brain changes is thought to facilitate trauma processing in therapy?,The finding that MDMA makes typically asocial octopuses more social suggests that MDMA:,The strategic decision to establish MAPS as a non-profit pharmaceutical entity was primarily to:,"Should MDMA-assisted psychotherapy be approved by the FDA, a likely implication is that:","The speaker’s final statement about ""catastrophe and consciousness"" implies that psychedelics could contribute to humanity's survival by:

 

	
	
		
		
			Statement 1: Offering new technological solutions to environmental crises.
			Statement 2: Strengthening national identities and cultural traditions.
			Statement 3: Elevating collective awareness and understanding.
			Statement 4: Increasing economic productivity and global competition.","The future vision of psychedelic clinics offering services like personal growth and couples therapy, alongside medical treatments, points towards:",Score,PROLIFIC_PID,FL_14 - Block Randomizer - Display Order,Psychedelics Final Test - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""SC_23vC4bifGQ7v5ie""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""BL_9ztGfEUjQWnlTaC_DO""}"
28/06/2025 05:04,28/06/2025 05:17,IP Address,100,773,TRUE,28/06/2025 05:17,R_22Xh3Ttirw5Hh02,anonymous,EN,1,5ee4a14b578f8a000b384376,(d) They enhance memory recall and cognitive processing.,(d) The individual's own pre-existing mental contents.,(c) Implement stricter controls and ethical regulations early on.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(d) The interplay between the individual’s mindset and usage environment.,"(a) Statements 1, 4",(b) By fostering a sense of interconnectedness and unity.,(a) Provide long-lasting relief from existential anxieties.,(c) Conventional drugs prioritize long-term emotional growth.,(a) Facilitate profound and enduring psychological transformation.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(b) Strengthening the individual's established sense of self.,(b) A perception of reality with less personal bias.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(b) Statement 3 only,(a) A broader application of psychedelics for human flourishing.,15,5ee4a14b578f8a000b384376,PsychedelicsFinalTest,Participant ID|Instructions|Q8|Q7|Q6|Q1|Q15|Q4|Q12|Q2 |Q10|Q14|Q16|Q18|Q9|Q11|Q3|Q20|Q19|Q5|Q13|Q17|Debrief
28/06/2025 05:23,28/06/2025 05:38,IP Address,100,906,TRUE,28/06/2025 05:38,R_82rpzPS4oOdZezn,anonymous,EN,1,681f421f57f106703aeaf6e8,(c) They provide a means to explore our inner workings.,(d) The individual's own pre-existing mental contents.,(c) Implement stricter controls and ethical regulations early on.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(d) The interplay between the individual’s mindset and usage environment.,"(a) Statements 1, 4",(b) By fostering a sense of interconnectedness and unity.,(a) Provide long-lasting relief from existential anxieties.,(b) Psychedelic therapy aims to resolve underlying issues.,(c) Tackle root causes by addressing the symptoms directly.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(b) A perception of reality with less personal bias.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(b) Statement 3 only,(a) A broader application of psychedelics for human flourishing.,17,681f421f57f106703aeaf6e8,PsychedelicsFinalTest,Participant ID|Instructions|Q18|Q5|Q15|Q16|Q9|Q1|Q12|Q7|Q10|Q14|Q2 |Q17|Q6|Q8|Q13|Q11|Q3|Q19|Q20|Q4|Debrief
28/06/2025 07:23,28/06/2025 07:32,IP Address,100,571,TRUE,28/06/2025 07:32,R_2QKaePijB95bPIj,anonymous,EN,1,612f5beeadebe8b6969dc5a9,(c) They provide a means to explore our inner workings.,(a) External stimuli amplified by psychedelics.,(a) Prioritize getting the necessary funding and expertise through public outreach.,(a) A major impediment in our understanding of neural mechanisms.,(a) The unstable and complex chemical composition of the substance.,"(a) Statements 1, 4",(b) By fostering a sense of interconnectedness and unity.,(a) Provide long-lasting relief from existential anxieties.,(b) Psychedelic therapy aims to resolve underlying issues.,(b) Minimize the need for therapy-client interaction in the healing process.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(d) Enhancing the brain's capacity for logical reasoning.,(a) A heightened sense of confusion and disorientation.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(a) Heightens sensory awareness and exploration.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(b) Statement 3 only,(a) A broader application of psychedelics for human flourishing.,10,612f5beeadebe8b6969dc5a9,PsychedelicsFinalTest,Participant ID|Instructions|Q5|Q4|Q13|Q12|Q1|Q15|Q14|Q19|Q2 |Q16|Q10|Q8|Q3|Q9|Q6|Q7|Q11|Q20|Q17|Q18|Debrief
28/06/2025 08:39,28/06/2025 08:46,IP Address,100,435,TRUE,28/06/2025 08:46,R_8LgPn9dQSlpX7Ml,anonymous,EN,1,6658c4239af9537eefdfbcc9,(a) They induce states of deep relaxation.,(a) External stimuli amplified by psychedelics.,(c) Implement stricter controls and ethical regulations early on.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(b) The user’s prior unique experiences with other psychoactive drugs.,"(b) Statements 2, 3",(a) By promoting adherence to a single global ideology.,(b) Enhance professional and academic pursuits.,(d) Conventional drugs are designed for short-term use only.,(c) Tackle root causes by addressing the symptoms directly.,(b) Higher doses of MDMA are required for therapeutic benefit.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(a) A heightened sense of confusion and disorientation.,(b) Decreased oxytocin release and heightened DMN activity.,(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(a) MDMA would be available as a take-home prescription.,(b) Statement 3 only,(c) The gradual replacement of other conventional therapies.,7,6658c4239af9537eefdfbcc9,PsychedelicsFinalTest,Participant ID|Instructions|Q12|Q14|Q6|Q15|Q2 |Q19|Q11|Q9|Q5|Q20|Q7|Q4|Q18|Q16|Q3|Q13|Q1|Q8|Q17|Q10|Debrief
28/06/2025 09:43,28/06/2025 09:49,IP Address,100,338,TRUE,28/06/2025 09:49,R_8P4DlLNs0JgAiCV,anonymous,EN,0.800000012,5d1a1d97a51463000183f7af,(c) They provide a means to explore our inner workings.,(d) The individual's own pre-existing mental contents.,(c) Implement stricter controls and ethical regulations early on.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(d) The interplay between the individual’s mindset and usage environment.,"(a) Statements 1, 4",(c) By encouraging acceptance and understanding of differing viewpoints.,(c) Catalyze deep personal re-orientation and commitment to a cause.,(b) Psychedelic therapy aims to resolve underlying issues.,(a) Facilitate profound and enduring psychological transformation.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(b) A perception of reality with less personal bias.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(c) Statements 2 and 3,(a) A broader application of psychedelics for human flourishing.,17,5d1a1d97a51463000183f7af,PsychedelicsFinalTest,Participant ID|Instructions|Q19|Q17|Q20|Q1|Q16|Q6|Q3|Q10|Q7|Q5|Q11|Q13|Q12|Q4|Q8|Q18|Q2 |Q9|Q14|Q15|Debrief
28/06/2025 10:15,28/06/2025 10:27,IP Address,100,747,TRUE,28/06/2025 10:27,R_2EtZiBsHZROz32Z,anonymous,EN,1,67607e34fb2abbf20ec24851,(d) They enhance memory recall and cognitive processing.,(d) The individual's own pre-existing mental contents.,(c) Implement stricter controls and ethical regulations early on.,(a) A major impediment in our understanding of neural mechanisms.,(c) The specific dosage administered to different individuals.,"(b) Statements 2, 3",(b) By fostering a sense of interconnectedness and unity.,(a) Provide long-lasting relief from existential anxieties.,(d) Conventional drugs are designed for short-term use only.,(a) Facilitate profound and enduring psychological transformation.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(b) A perception of reality with less personal bias.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(c) Reduces fear and increases affiliative tendencies.,(d) Advocate for the immediate decriminalization of all psychedelics.,(b) Administration would only be done by specifically credentialed practitioners.,"(d) Statements 1, 2, 3, and 4",(d) A shift in focus from treating severe mental illnesses.,11,67607e34fb2abbf20ec24851,PsychedelicsFinalTest,Participant ID|Instructions|Q4|Q18|Q11|Q16|Q8|Q12|Q5|Q14|Q6|Q2 |Q7|Q20|Q15|Q19|Q17|Q1|Q10|Q3|Q13|Q9|Debrief
28/06/2025 10:42,28/06/2025 10:49,IP Address,100,440,TRUE,28/06/2025 10:49,R_2xK1D79BQbmx2f5,anonymous,EN,1,66640059232bcc6a15b24803,(c) They provide a means to explore our inner workings.,(d) The individual's own pre-existing mental contents.,(a) Prioritize getting the necessary funding and expertise through public outreach.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(d) The interplay between the individual’s mindset and usage environment.,"(a) Statements 1, 4",(c) By encouraging acceptance and understanding of differing viewpoints.,(c) Catalyze deep personal re-orientation and commitment to a cause.,(b) Psychedelic therapy aims to resolve underlying issues.,(a) Facilitate profound and enduring psychological transformation.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(b) A perception of reality with less personal bias.,(a) Increased amygdala activity and reduced prefrontal cortex activity.,(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(b) Statement 3 only,(a) A broader application of psychedelics for human flourishing.,16,66640059232bcc6a15b24803,PsychedelicsFinalTest,Participant ID|Instructions|Q15|Q8|Q20|Q12|Q16|Q2 |Q19|Q4|Q13|Q6|Q17|Q10|Q7|Q5|Q9|Q1|Q11|Q18|Q14|Q3|Debrief
28/06/2025 11:53,28/06/2025 12:03,IP Address,100,566,TRUE,28/06/2025 12:03,R_2mZofn90u6W7lW9,anonymous,EN,1,5bb48501d3be310001c1afeb,(c) They provide a means to explore our inner workings.,(d) The individual's own pre-existing mental contents.,(c) Implement stricter controls and ethical regulations early on.,(c) A lost breakthrough opportunity to alleviate significant human suffering.,(d) The interplay between the individual’s mindset and usage environment.,"(a) Statements 1, 4",(b) By fostering a sense of interconnectedness and unity.,(c) Catalyze deep personal re-orientation and commitment to a cause.,(b) Psychedelic therapy aims to resolve underlying issues.,(c) Tackle root causes by addressing the symptoms directly.,(c) The context and support are crucial for MDMA's effectiveness.,(d) Create a safe space for the patient's own healing to emerge.,(c) Temporarily loosening rigid patterns of thought and self-perception.,(b) A perception of reality with less personal bias.,"(c) Reduced amygdala activity, increased prefrontal activity, and oxytocin release.",(c) Reduces fear and increases affiliative tendencies.,(c) Legalize and approve funded research through established medical channels.,(b) Administration would only be done by specifically credentialed practitioners.,(b) Statement 3 only,(a) A broader application of psychedelics for human flourishing.,18,5bb48501d3be310001c1afeb,PsychedelicsFinalTest,Participant ID|Instructions|Q19|Q2 |Q3|Q15|Q9|Q16|Q10|Q8|Q1|Q17|Q4|Q12|Q6|Q7|Q20|Q18|Q14|Q5|Q13|Q11|Debrief
