StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent form,Prolific ID,Age,Gender ,Instructions check,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,Prior knowledge_1,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"CONSENT FORM FOR ADULTS IN ONLINE RESEARCH STUDIES



Please complete this form after you have read the Information Sheet.



____________________________________________________________________________

Title of Study: 

Learning, Memory, and Cognition ____________________________________________________________________________

Department:

Experimental Psychology ____________________________________________________________________________

Name and Contact Details of the Principal Researcher: 

Prof David Shanks

Dept of Experimental Psychology, UCL

26 Bedford Way, London WC1H 0AP

d.shanks@ucl.ac.uk

____________________________________________________________________________

Name and Contact Details of the UCL Data Protection Officer: 

data-protection@ucl.ac.uk

____________________________________________________________________________

This study has been approved by the UCL Research Ethics Committee: Project ID number: 

0334

____________________________________________________________________________



Thank you for considering taking part in this research. If you have any questions arising from the Information Sheet, please contact the researcher before you decide whether to participate.



I confirm that I understand that by ticking/initialling each box below I am consenting to this element of the study. I understand that it will be assumed that unticked/initialled boxes means that I DO NOT consent to that part of the study. I understand that by not giving consent for any one element that I may be deemed ineligible for the study.","Please provide your Prolific ID

Please note that this response should auto-fill with the correct ID.",What is your age?,What is your gender?,I have read and understood the above instructions,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please answer the following question: - How well did you know the information in the video prior to watching it?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID157_TEXT""}","{""ImportId"":""QID179_TEXT""}","{""ImportId"":""QID180""}","{""ImportId"":""QID18""}","{""ImportId"":""QID299_FIRST_CLICK""}","{""ImportId"":""QID299_LAST_CLICK""}","{""ImportId"":""QID299_PAGE_SUBMIT""}","{""ImportId"":""QID299_CLICK_COUNT""}","{""ImportId"":""QID1218955739_1""}","{""ImportId"":""PROLIFIC_PID""}"
19/11/2025 08:30,19/11/2025 08:46,IP Address,100,975,TRUE,19/11/2025 08:46,R_8ItnJGcd3tLs7gc,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",63ea46ac57c552d3b4ff83bc,27,Male,Yes,0,0,903.001,0,5,
19/11/2025 08:30,19/11/2025 08:46,IP Address,100,959,TRUE,19/11/2025 08:46,R_8QtYXwhOdadJ5We,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6658c4239af9537eefdfbcc9,33,Female,Yes,603.938,603.938,905.961,1,1,
19/11/2025 08:30,19/11/2025 08:47,IP Address,100,993,TRUE,19/11/2025 08:47,R_2qBOLCQ4xivbjkk,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5c60501d767686000100150c,58,Female,Yes,0,0,903.636,0,1,
19/11/2025 08:30,19/11/2025 08:47,IP Address,100,1011,TRUE,19/11/2025 08:47,R_8kn0bObhlz1Lh1n,anonymous,EN,0.200000003,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",56b78f11e77ebe000cbefe79,60,Female,Yes,0,0,900.626,0,1,
19/11/2025 08:30,19/11/2025 08:47,IP Address,100,994,TRUE,19/11/2025 08:47,R_8yLJ0vri9oAyF21,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5e9593f997af0e19c6073957,29,Prefer not to say,Yes,0,0,902.082,0,1,
19/11/2025 08:31,19/11/2025 08:47,IP Address,100,960,TRUE,19/11/2025 08:47,R_2rZokqtYdVxIg8Y,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6103e1d7b7c388fda60e0bf6,26,Male,Yes,0,0,903.523,0,2,
19/11/2025 08:31,19/11/2025 08:47,IP Address,100,965,TRUE,19/11/2025 08:47,R_27I3sSuG0os77AR,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",6304db4577830d43f42d4d26,28,Male,Yes,0,0,910.716,0,2,
19/11/2025 08:30,19/11/2025 08:47,IP Address,100,1044,TRUE,19/11/2025 08:47,R_8BtkX90hNBvNP1d,anonymous,EN,1,"I have read the information sheet and understand I can email the researchers with any questions.,I understand that my personal information (e.g., my age, gender, and information about my language background) will be used for the purposes of this study, which have been explained to me.,I consent to the processing of my personal information for the purposes of this study, and I understand that any such information will be treated as strictly confidential and handled in accordance with the provisions of the Data Protection Act 2018.,I understand that the information I provide may be published as a report and I will be sent a copy if I wish. Confidentiality and anonymity will be maintained, and it will not be possible to identify me in any publications.,I understand that my anonymised research data may be shared in accordance with open science guidelines (no one will be able to identify me if these data are shared).,I understand that I am free to withdraw from the study without penalty if I so wish.,I am over the age of 18.,I consent to take part in this study.",5e35373e1ddb124e6c306747,49,Female,Yes,0,0,903.607,0,2,
