StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,SC0,PROLIFIC_PID,RunningScore,QuestionCount
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Please provide your Prolific ID

Please note that this response should auto-fill with the correct ID.",A lab wants to study a rare genetic heart condition. Why would creating iPSCs from a patient be more advantageous than using generic embryonic stem cells for this purpose?,A scientist successfully reprograms a skin cell into an iPSC. What is the most significant implication of this for creating a disease model of motor neuron disease (MND)?,"A ""disease in a dish"" model for motor neuron disease (MND) is created. What new insight could this model reveal that was previously difficult to study?","A research team develops a ""disease in a dish"" model for a specific type of dementia. Which of the following statements describe valid applications for this model?

	Statement 1: To observe how the disease unfolds in living human cells.
	Statement 2: To test thousands of drug compounds for potential efficacy.
	Statement 3: To identify which genetic subtypes are most vulnerable to the disease.
	Statement 4: To immediately cure the patient from whom the cells were taken.","The speaker highlights the 99% failure rate in drug development. Based on the talk, which factor is a primary cause of this inefficiency?",How would widespread use of human stem cell models most likely change the current drug development paradigm described in the video?,A new cardiac drug shows excellent results in a clinical trial conducted in Europe. Why might a doctor be cautious prescribing it to a patient of East Asian descent?,"The speaker criticizes the ""one-size-fits-all"" model of medicine. Which outcome is a direct consequence of this flawed model?","The NYSCF aims to create a global array of stem cell ""avatars"". What is the primary strategic purpose of ensuring this array is genetically diverse?","A pharmaceutical company uses a stem cell ""avatar"" array to test a new neurological drug. What question can they answer more effectively than with traditional methods?",The speaker mentions a gap between academic research and industry. Which statement best analyzes why an organization like the NYSCF is positioned to bridge this gap?,"According to the speaker, why might large, established organizations struggle in a new field like stem cell research?","What is the main limitation of making stem cell lines ""by hand, one at a time"" that automation directly addresses?","A lab wants to build a genetically diverse library of 1,000 stem cell lines. Why is automation essential for achieving this goal?","The speaker compares using stem cell models to having a ""black box"" for a plane crash. What does this analogy suggest about studying diseases?",The discovery that a second cell type contributes to motor neuron death in the ALS model best illustrates the power of stem cells to:,The video compares the challenges facing stem cell research to the early days of IVF. What is the most likely purpose of this comparison?,"What was the primary motivation for establishing ""private, safe-haven laboratories"" for stem cell research, as described in the video?",The case of Vioxx revealed that a drug can have serious side effects in a subset of the population. How could a stem cell array have changed this outcome?,A company has a drug that failed trials for arthritis but seems to affect liver cells. How could a stem cell platform be used in this situation?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Score,PROLIFIC_PID,RunningScore,QuestionCount
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID227_TEXT""}","{""ImportId"":""QID1218956136""}","{""ImportId"":""QID1218956137""}","{""ImportId"":""QID1218956138""}","{""ImportId"":""QID1218956139""}","{""ImportId"":""QID1218956140""}","{""ImportId"":""QID1218956141""}","{""ImportId"":""QID1218956142""}","{""ImportId"":""QID1218956143""}","{""ImportId"":""QID1218956144""}","{""ImportId"":""QID1218956145""}","{""ImportId"":""QID1218956146""}","{""ImportId"":""QID1218956147""}","{""ImportId"":""QID1218956148""}","{""ImportId"":""QID1218956149""}","{""ImportId"":""QID1218956150""}","{""ImportId"":""QID1218956151""}","{""ImportId"":""QID1218956152""}","{""ImportId"":""QID1218956153""}","{""ImportId"":""QID1218956154""}","{""ImportId"":""QID1218956155""}","{""ImportId"":""QID228_FIRST_CLICK""}","{""ImportId"":""QID228_LAST_CLICK""}","{""ImportId"":""QID228_PAGE_SUBMIT""}","{""ImportId"":""QID228_CLICK_COUNT""}","{""ImportId"":""SC_23vC4bifGQ7v5ie""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""RunningScore""}","{""ImportId"":""QuestionCount""}"
20/11/2025 10:01,20/11/2025 10:16,IP Address,100,937,TRUE,20/11/2025 10:16,R_2wuzl0uDohcNAE9,anonymous,EN,1,5c60501d767686000100150c,,,,,,,,,,,,,,,,,,,,,0,0,907.135,0,0,,0,0
20/11/2025 10:03,20/11/2025 10:16,IP Address,100,815,TRUE,20/11/2025 10:16,R_21hGxTyvT4SSnvM,anonymous,EN,1,651c1d7524852e9f9d614ce3,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(d) The strict government regulations that prevent most new drugs from being approved.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(c) It proves that all diseases are as complex and catastrophic as a plane crash.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(d) By proving the drug was completely safe for all genetic subtypes.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,16,,16,20
20/11/2025 10:01,20/11/2025 10:17,IP Address,100,954,TRUE,20/11/2025 10:17,R_8eyT5e90ThkeGrd,anonymous,EN,1,55d51a6b8ce09000127d4821,,,,,,,,,,,,,,,,,,,,,942.772,943.756,944.074,4,0,,0,0
20/11/2025 10:04,20/11/2025 10:18,IP Address,100,798,TRUE,20/11/2025 10:18,R_8gU8x3nEKaWnLHn,anonymous,EN,1,6658c4239af9537eefdfbcc9,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(c) The inability to manufacture promising drug compounds on a large scale.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(a) They have more funding than both universities and pharmaceutical companies combined.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(d) Manually created cells cannot be differentiated into specific tissue types.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(d) To highlight that both fields rely on the same laboratory techniques and equipment.,(b) To protect valuable intellectual property from competing pharmaceutical companies.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,14,,14,20
20/11/2025 10:02,20/11/2025 10:18,IP Address,100,969,TRUE,20/11/2025 10:18,R_2nMcoqSBrdev0e5,anonymous,EN,1,6704539fe462b87182866f14,,,,,,,,,,,,,,,,,,,,,0,0,942.54,0,0,,0,0
20/11/2025 10:02,20/11/2025 10:18,IP Address,100,947,TRUE,20/11/2025 10:18,R_8Sp34MmmKPXF3M8,anonymous,EN,0.899999976,5827634ea80bf4000199994b,,,,,,,,,,,,,,,,,,,,,0,0,910.743,0,0,,0,0
20/11/2025 10:03,20/11/2025 10:18,IP Address,100,928,TRUE,20/11/2025 10:18,R_8KI6CsHhimlvSLn,anonymous,EN,1,65c8d7f023278532f6f49139,,,,,,,,,,,,,,,,,,,,,2.888,900.87,901.599,2,0,,0,0
20/11/2025 10:03,20/11/2025 10:19,IP Address,100,930,TRUE,20/11/2025 10:19,R_8U3h67hjDaRw9Nj,anonymous,EN,1,57bafa6cc308ca00014527c2,,,,,,,,,,,,,,,,,,,,,0,0,900.441,0,0,,0,0
20/11/2025 10:06,20/11/2025 10:19,IP Address,100,779,TRUE,20/11/2025 10:19,R_8S1yGt56lXIGsc7,anonymous,EN,1,596155a998cf77000106f8d8,(d)  iPSCs are simpler and faster to generate in the lab than embryonic stem cells,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
20/11/2025 10:02,20/11/2025 10:19,IP Address,100,1042,TRUE,20/11/2025 10:19,R_294SOZC247eMRjR,anonymous,EN,1,665af670c32544bf63236164,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(a) Is this drug more effective than a placebo in a double-blind study?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
