StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent_form,part1_id,age,gender,study_timer_First Click,study_timer_Last Click,study_timer_Page Submit,study_timer_Click Count,prior_knowledge_1,PROLIFIC_PID,Video
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"CONSENT FORM FOR ADULTS IN ONLINE RESEARCH STUDIES

Please complete this form after you have read the Information Sheet.



If you have any questions arising from the Information Sheet, please contact the researcher before you decide whether to participate.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID",What is your age?,What is your gender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How well did you know the information in the video prior to watching it?,PROLIFIC_PID,Video
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Video""}"
26/11/2025 03:01,26/11/2025 03:07,0,100,364,1,26/11/2025 03:07,R_8pissevIqygng4p,anonymous,EN,1,"1,2,3,4,5,6,7,8,9",644805884189b40893adfa53,56,2,8.852,286.05,287.321,2,3,644805884189b40893adfa53,Tea
26/11/2025 03:01,26/11/2025 03:07,0,100,406,1,26/11/2025 03:07,R_2n1mff6aUIxxaEC,anonymous,EN,1,"1,2,3,4,5,6,7,8,9",5ca5fb084f3e9d0015440d1d,47,2,0,0,290.543,0,2,5ca5fb084f3e9d0015440d1d,Tea
26/11/2025 03:00,26/11/2025 03:08,0,100,452,1,26/11/2025 03:08,R_20On5h31wBNUtjm,anonymous,EN,0.699999988,"1,2,3,4,5,6,7,8,9",66ef36768bc403140fa01e35,36,2,46.423,46.423,361.536,1,4,66ef36768bc403140fa01e35,Tea
26/11/2025 03:01,26/11/2025 03:10,0,100,570,1,26/11/2025 03:10,R_8Qh3bb7Rf3zSUlE,anonymous,EN,1,"1,2,3,4,5,6,7,8,9",5bddfba7712eb800010d3a61,56,2,0,0,488.369,0,5,5bddfba7712eb800010d3a61,Tea
26/11/2025 03:05,26/11/2025 03:11,0,100,368,1,26/11/2025 03:11,R_2E3ZSGI0vwlNCea,anonymous,EN,1,"1,2,3,4,5,6,7,8,9",65a3f461bfa22dde98c10436,37,2,0,0,287.048,0,1,65a3f461bfa22dde98c10436,Tea
26/11/2025 03:10,26/11/2025 03:16,0,100,339,1,26/11/2025 03:16,R_2gj428DbhAzTIa5,anonymous,EN,1,"1,2,3,4,5,6,7,8,9",566d5997d408ea00051a2a86,41,1,0,0,286.094,0,2,566d5997d408ea00051a2a86,Tea
26/11/2025 03:09,26/11/2025 03:16,0,100,390,1,26/11/2025 03:16,R_8V1QU7pseupssoo,anonymous,EN,0.899999976,"1,2,3,4,5,6,7,8,9",62b74ec256808d84b3e691d6,44,1,0,0,288.89,0,1,62b74ec256808d84b3e691d6,Tea
26/11/2025 03:11,26/11/2025 03:16,0,100,329,1,26/11/2025 03:16,R_82fDbihy4gmirf3,anonymous,EN,0.5,"1,2,3,4,5,6,7,8,9",5ce65c39baebc8001939a3ab,46,2,287.33,287.33,288.387,1,5,5ce65c39baebc8001939a3ab,Tea
