StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,part2_id,restudy_timer_First Click,restudy_timer_Last Click,restudy_timer_Page Submit,restudy_timer_Click Count,TeaQ01,TeaQ02,TeaQ03,TeaQ04,TeaQ05,TeaQ06,TeaQ07,TeaQ08,TeaQ09,TeaQ10,PROLIFIC_PID,Group,Tea_Q01,Tea_Q02,Tea_Q03,Tea_Q04,Tea_Q05,Tea_Q06,Tea_Q07,Tea_Q08,Tea_Q09,Tea_Q10,Tea_MA01,Tea_MA02,Tea_MA03,Tea_MA04,Tea_MA05,Tea_MA06,Tea_MA07,Tea_MA08,Tea_MA09,Tea_MA10,Tea_R01,Tea_R02,Tea_R03,Tea_R04,Tea_R05,Tea_R06,Tea_R07,Tea_R08,Tea_R09,Tea_R10,Tea_F01,Tea_F02,Tea_F03,Tea_F04,Tea_F05,Tea_F06,Tea_F07,Tea_F08,Tea_F09,Tea_F10,Video
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,[Field-Tea_Q01],[Field-Tea_Q02],[Field-Tea_Q03],[Field-Tea_Q04],[Field-Tea_Q05],[Field-Tea_Q06],[Field-Tea_Q07],[Field-Tea_Q08],[Field-Tea_Q09],[Field-Tea_Q10],PROLIFIC_PID,Group,Tea_Q01,Tea_Q02,Tea_Q03,Tea_Q04,Tea_Q05,Tea_Q06,Tea_Q07,Tea_Q08,Tea_Q09,Tea_Q10,Tea_MA01,Tea_MA02,Tea_MA03,Tea_MA04,Tea_MA05,Tea_MA06,Tea_MA07,Tea_MA08,Tea_MA09,Tea_MA10,Tea_R01,Tea_R02,Tea_R03,Tea_R04,Tea_R05,Tea_R06,Tea_R07,Tea_R08,Tea_R09,Tea_R10,Tea_F01,Tea_F02,Tea_F03,Tea_F04,Tea_F05,Tea_F06,Tea_F07,Tea_F08,Tea_F09,Tea_F10,Video
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1218945872_TEXT""}","{""ImportId"":""QID1218945885_FIRST_CLICK""}","{""ImportId"":""QID1218945885_LAST_CLICK""}","{""ImportId"":""QID1218945885_PAGE_SUBMIT""}","{""ImportId"":""QID1218945885_CLICK_COUNT""}","{""ImportId"":""QID265_TEXT""}","{""ImportId"":""QID266_TEXT""}","{""ImportId"":""QID267_TEXT""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID269_TEXT""}","{""ImportId"":""QID270_TEXT""}","{""ImportId"":""QID271_TEXT""}","{""ImportId"":""QID272_TEXT""}","{""ImportId"":""QID273_TEXT""}","{""ImportId"":""QID274_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Group""}","{""ImportId"":""Tea_Q01""}","{""ImportId"":""Tea_Q02""}","{""ImportId"":""Tea_Q03""}","{""ImportId"":""Tea_Q04""}","{""ImportId"":""Tea_Q05""}","{""ImportId"":""Tea_Q06""}","{""ImportId"":""Tea_Q07""}","{""ImportId"":""Tea_Q08""}","{""ImportId"":""Tea_Q09""}","{""ImportId"":""Tea_Q10""}","{""ImportId"":""Tea_MA01""}","{""ImportId"":""Tea_MA02""}","{""ImportId"":""Tea_MA03""}","{""ImportId"":""Tea_MA04""}","{""ImportId"":""Tea_MA05""}","{""ImportId"":""Tea_MA06""}","{""ImportId"":""Tea_MA07""}","{""ImportId"":""Tea_MA08""}","{""ImportId"":""Tea_MA09""}","{""ImportId"":""Tea_MA10""}","{""ImportId"":""Tea_R01""}","{""ImportId"":""Tea_R02""}","{""ImportId"":""Tea_R03""}","{""ImportId"":""Tea_R04""}","{""ImportId"":""Tea_R05""}","{""ImportId"":""Tea_R06""}","{""ImportId"":""Tea_R07""}","{""ImportId"":""Tea_R08""}","{""ImportId"":""Tea_R09""}","{""ImportId"":""Tea_R10""}","{""ImportId"":""Tea_F01""}","{""ImportId"":""Tea_F02""}","{""ImportId"":""Tea_F03""}","{""ImportId"":""Tea_F04""}","{""ImportId"":""Tea_F05""}","{""ImportId"":""Tea_F06""}","{""ImportId"":""Tea_F07""}","{""ImportId"":""Tea_F08""}","{""ImportId"":""Tea_F09""}","{""ImportId"":""Tea_F10""}","{""ImportId"":""Video""}"
27/11/2025 03:01,27/11/2025 03:07,0,100,316,1,27/11/2025 03:07,R_2NDfIzSepi7M2LY,anonymous,EN,1,681b781064a5701a5ceee3bc,0,0,288.365,0,,,,,,,,,,,681b781064a5701a5ceee3bc,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:02,27/11/2025 03:07,0,100,307,1,27/11/2025 03:07,R_8PdBRZfi51TOgOp,anonymous,EN,1,5cc052c9a1e263001715594d,0,0,287.001,0,,,,,,,,,,,5cc052c9a1e263001715594d,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:02,27/11/2025 03:07,0,100,310,1,27/11/2025 03:07,R_61cw8GjlAGlPddj,anonymous,EN,1,5d3821f0ddea5a0001757f93,0,0,287.152,0,,,,,,,,,,,5d3821f0ddea5a0001757f93,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:03,27/11/2025 03:08,0,100,303,1,27/11/2025 03:08,R_8CBLhXCdxyL3Cz3,anonymous,EN,0.800000012,55d5b77ddb6a810006fa05d5,0,0,286.87,0,,,,,,,,,,,55d5b77ddb6a810006fa05d5,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:02,27/11/2025 03:09,0,100,408,1,27/11/2025 03:09,R_2BbSa4G3eDMFucs,anonymous,EN,1,5efcb50255a06b097b8d5d29,7.263,283.1,289.273,2,,,,,,,,,,,5efcb50255a06b097b8d5d29,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:02,27/11/2025 03:11,0,100,561,1,27/11/2025 03:11,R_2PREaYzZSNwyd46,anonymous,EN,0.899999976,5e203085ac30fa331b586690,0,0,545.423,0,,,,,,,,,,,5e203085ac30fa331b586690,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:06,27/11/2025 03:12,0,100,370,1,27/11/2025 03:12,R_8B35a9HNDWtVlb4,anonymous,EN,0.100000001,6530316e660f5b8d9c11c00e,0,0,352.497,0,,,,,,,,,,,6530316e660f5b8d9c11c00e,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
27/11/2025 03:08,27/11/2025 03:13,0,100,325,1,27/11/2025 03:13,R_8rRQzb9lxEPFrz3,anonymous,EN,1,6440ec657d3df6f5223edc73,0,0,311.412,0,,,,,,,,,,,6440ec657d3df6f5223edc73,Restudy,"According to legend, who was the mythical Chinese figure credited with discovering tea while searching the forest for edible grains and herbs?",Explain how tea was originally consumed in ancient China before it was primarily prepared as a drink.,Describe the change in tea preparation that occurred during the Tang Dynasty and led to the creation of matcha.,"What significant change to the standard form of tea occurred during China's Ming Dynasty, shifting away from the matcha-style preparation?","Besides tea, what were the other two essential Chinese export goods that gave the country significant economic power?","Explain the economic reason that prompted Great Britain to begin trading opium for Chinese tea, instead of its original payment method.","Following the First Opium War, what were two major concessions the defeated Qing Dynasty made to the British?",How did the British East India Company ultimately break China's long-held monopoly on tea cultivation?,What was the primary motivation for the development of the fast-sailing clipper ship in the 19th century?,What is tea's ranking as the most consumed beverage in the world today?,"The mythical figure credited with discovering tea is the divine farmer, Shennong.","Originally, tea was consumed as a food; it was either eaten as a vegetable or cooked with grain porridge.","The standard method became heating tea, packing it into portable cakes, grinding it into powder, and then mixing it with hot water to create a frothy beverage.","During the Ming Dynasty, the Chinese emperor shifted the standard from tea pressed into cakes to using loose-leaf tea.",The other two essential Chinese export goods that gave the country economic power were porcelain and silk.,"Britain initially paid for Chinese tea with silver, but this proved to be too expensive, so they switched to trading opium as a more sustainable alternative.",The Qing Dynasty ceded the port of Hong Kong to the British and was forced to resume trading on unfavorable terms.,"They commissioned botanist Robert Fortune to secretly smuggle tea trees and experienced tea workers out of China and into Darjeeling, India.","The clipper ship was developed due to intense competition between Western trading companies, who were racing to transport tea to Europe first to maximize profits.","Tea is the second most consumed beverage in the world, after water.",This is a direct recall of a key figure and the foundational legend mentioned at the start of the video.,"This question requires the learner to explain the initial state of tea consumption, demonstrating comprehension of its evolution from a food to a beverage.","This question asks for an explanation of a specific historical process mentioned in the video, testing the learner's understanding of how a particular type of tea was made.","This question checks for understanding of a key transition in tea's physical form and preparation method, which marked a major turning point in its history.",This question tests the recall of specific factual information about China's key exports during the period it held a monopoly on tea.,This question tests the learner's ability to analyze the cause (high cost of silver) for a significant effect (the switch to the opium trade).,This question requires the learner to recall and connect the outcome of a major conflict to its specific political and economic consequences for China.,This question requires the learner to analyze the specific actions (industrial espionage) taken by a key entity to overcome a major economic obstacle (China's monopoly).,This requires the learner to analyze the cause-and-effect relationship between economic competition in the tea trade and a specific technological innovation.,"This tests the recall of a concluding fact that puts the entire history of tea into a modern context, demonstrating the beverage's global significance.",,,,,,,,,,,Tea
