StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,part3_id,MCQ01,MCQ02,MCQ03,MCQ04,MCQ05,MCQ06,MCQ07,MCQ08,MCQ09,MCQ10,MCQ11,MCQ12,MCQ13,MCQ14,SC0,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","In ancient legend, how did a divine farmer discover tea?",Archaeological evidence suggests that tea was first cultivated in Ancient __________.,How was tea plant originally consumed?,__________ refers to the beverage made by mixing powdered tea leaves with hot water.,"In the 14th century, the Chinese emperor __________.",Who brought the first tea plant to Japan in the 9th century?,"In the early 1600s, how did tea drinking spread around the world?",Who is thought to have made tea popular with the English aristocracy in the 1600s?,"What led to the creation of the clipper ship, which was at one point the world’s fastest sailboat?","By 1700, tea in Europe sold for __________ the price of coffee.","At first, Britain paid for tea with __________, but when this proved too expensive, they began trading tea for __________.",China ceded Hong Kong to the British to __________.,Why did the British East India Company commission botanist Robert Fortune to smuggle tea trees from China to India?,Tea is the __________ most consumed beverage in the world.,Score,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""SC_6DtlLJCdfFq8rj0""}","{""ImportId"":""PROLIFIC_PID""}"
04/12/2025 03:01,04/12/2025 03:04,0,100,205,1,04/12/2025 03:04,R_2gCFbnMyBW9RPwt,anonymous,EN,1,5c7ccbfe371d1d0015bcabc0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,5c7ccbfe371d1d0015bcabc0
04/12/2025 03:02,04/12/2025 03:04,0,100,152,1,04/12/2025 03:04,R_2fZrGHTdcXdh3cW,anonymous,EN,1,65a3f461bfa22dde98c10436,1,1,3,2,1,1,2,1,3,1,2,3,4,2,6,65a3f461bfa22dde98c10436
04/12/2025 03:00,04/12/2025 03:05,0,100,259,1,04/12/2025 03:05,R_80UCErzPluasfzr,anonymous,EN,1,5eeb2b8a36774c27657f227c,1,1,1,2,1,1,2,4,1,1,1,1,1,1,11,5eeb2b8a36774c27657f227c
04/12/2025 03:02,04/12/2025 03:05,0,100,148,1,04/12/2025 03:05,R_2ZIebqKdtGE1Knz,anonymous,EN,1,5f0766baa1aa2f12767758cd,1,1,1,1,2,4,2,3,1,3,1,3,1,1,8,5f0766baa1aa2f12767758cd
04/12/2025 03:05,04/12/2025 03:07,0,100,119,1,04/12/2025 03:07,R_8oJBK0GiDo0gCA1,anonymous,EN,1,566d5997d408ea00051a2a86,1,1,3,1,1,4,1,1,1,1,1,1,1,2,11,566d5997d408ea00051a2a86
04/12/2025 03:04,04/12/2025 03:08,0,100,221,1,04/12/2025 03:08,R_8hEGNLqiwdn6PnJ,anonymous,EN,1,5ca5fb084f3e9d0015440d1d,1,2,1,1,1,1,1,1,1,3,1,3,1,1,11,5ca5fb084f3e9d0015440d1d
04/12/2025 03:04,04/12/2025 03:08,0,100,199,1,04/12/2025 03:08,R_8I6H0CnudfJs1Qm,anonymous,EN,1,5ea59ffb9325e15853a82d84,1,1,1,1,1,4,4,1,1,1,1,1,1,1,12,5ea59ffb9325e15853a82d84
04/12/2025 03:05,04/12/2025 03:08,0,100,195,1,04/12/2025 03:08,R_82KDgHyWeHMtYpu,anonymous,EN,1,63f38f6346a5beb76cb2a3b8,1,2,1,1,1,1,1,3,1,1,1,1,1,1,12,63f38f6346a5beb76cb2a3b8
04/12/2025 03:04,04/12/2025 03:08,0,100,238,1,04/12/2025 03:08,R_2oHOMcNahQ3HEGG,anonymous,EN,1,6440ec657d3df6f5223edc73,3,1,3,3,2,1,3,2,2,3,4,3,1,2,3,6440ec657d3df6f5223edc73
04/12/2025 03:00,04/12/2025 03:09,0,100,549,1,04/12/2025 03:09,R_8MaJKFtx5KvCBpL,anonymous,EN,1,672b24390a9c197eb61f2f72,1,1,1,4,2,1,1,1,1,1,2,1,3,1,10,672b24390a9c197eb61f2f72
04/12/2025 03:06,04/12/2025 03:09,0,100,179,1,04/12/2025 03:09,R_2w0ufoBS6OApXab,anonymous,EN,1,587249a2e9cb31000195ed09,2,1,1,1,1,4,2,4,1,1,1,1,1,1,10,587249a2e9cb31000195ed09
04/12/2025 03:07,04/12/2025 03:11,0,100,221,1,04/12/2025 03:11,R_8BWA7xj51dpI2dj,anonymous,EN,1,5cc052c9a1e263001715594d,1,1,3,1,1,1,2,1,1,1,2,3,1,1,10,5cc052c9a1e263001715594d
04/12/2025 03:09,04/12/2025 03:11,0,100,121,1,04/12/2025 03:11,R_2omHIaUnFKKRmcp,anonymous,EN,1,6310a5c786d2abda637997c0,1,1,2,1,1,1,1,1,3,3,1,1,1,2,10,6310a5c786d2abda637997c0
04/12/2025 03:06,04/12/2025 03:11,0,100,301,1,04/12/2025 03:11,R_8eRw713qrcF17lV,anonymous,EN,1,5afbf02302b1b5000103e313,3,1,1,1,1,1,1,1,1,3,1,1,1,1,12,5afbf02302b1b5000103e313
04/12/2025 03:09,04/12/2025 03:12,0,100,182,1,04/12/2025 03:12,R_2gMcbcKhQwXqYgs,anonymous,EN,1,653fed546a45118a32fe378e,1,3,1,1,1,3,2,4,1,1,2,3,3,2,6,653fed546a45118a32fe378e
04/12/2025 03:10,04/12/2025 03:12,0,100,164,1,04/12/2025 03:12,R_2wzvlBbHCbnqOD4,anonymous,EN,1,663ccb353b6d9966bcce762a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,663ccb353b6d9966bcce762a
04/12/2025 03:07,04/12/2025 03:13,0,100,315,1,04/12/2025 03:13,R_2MLP4mr9uf5OKNN,anonymous,EN,1,58c4ff360f0c150001ed45a4,1,3,3,1,1,3,1,3,2,3,1,3,1,2,6,58c4ff360f0c150001ed45a4
04/12/2025 03:08,04/12/2025 03:13,0,100,316,1,04/12/2025 03:13,R_8NqZDFTbZp11eE1,anonymous,EN,1,66def1304e37adb3349f648f,1,1,1,1,1,1,2,1,3,1,1,1,1,1,12,66def1304e37adb3349f648f
04/12/2025 03:11,04/12/2025 03:14,0,100,222,1,04/12/2025 03:14,R_8DOvGOHYVBHNa4i,anonymous,EN,1,661403131cecbe255b64ca6f,3,1,1,1,1,1,1,1,1,1,2,1,1,1,12,661403131cecbe255b64ca6f
04/12/2025 03:13,04/12/2025 03:15,0,100,144,1,04/12/2025 03:15,R_2dzCGSkSc8qsbbO,anonymous,EN,0.899999976,66ef36768bc403140fa01e35,1,1,1,1,1,2,1,1,1,1,1,3,1,1,12,66ef36768bc403140fa01e35
04/12/2025 03:09,04/12/2025 03:16,0,100,411,1,04/12/2025 03:16,R_2uPQsVgdXX5CX2m,anonymous,EN,1,5efcb50255a06b097b8d5d29,1,1,1,1,1,1,2,1,1,1,1,1,1,2,12,5efcb50255a06b097b8d5d29
04/12/2025 03:10,04/12/2025 03:17,0,100,392,1,04/12/2025 03:17,R_2O6dOZrIenQG7KW,anonymous,EN,1,5e3906b9a6df461259c0632f,1,1,1,2,1,2,2,1,1,1,1,2,1,1,10,5e3906b9a6df461259c0632f
04/12/2025 03:15,04/12/2025 03:18,0,100,183,1,04/12/2025 03:18,R_2CTJzBXYVBJNe2I,anonymous,EN,1,5bf2f728bd9f150001f6cc42,1,1,1,2,1,4,2,3,1,1,1,3,1,1,9,5bf2f728bd9f150001f6cc42
04/12/2025 03:15,04/12/2025 03:18,0,100,170,1,04/12/2025 03:18,R_2nrzHwY7NIctEye,anonymous,EN,1,5f919274b5383b00096b0295,4,2,1,1,1,2,4,1,2,3,1,2,1,1,7,5f919274b5383b00096b0295
04/12/2025 03:16,04/12/2025 03:18,0,100,165,1,04/12/2025 03:18,R_8jV3WFblDJlwusZ,anonymous,EN,1,614825d01815f41fe66dda75,1,1,3,3,2,1,3,4,2,3,2,3,1,1,5,614825d01815f41fe66dda75
04/12/2025 03:15,04/12/2025 03:19,0,100,234,1,04/12/2025 03:19,R_2eJok3G5TwOGLx6,anonymous,EN,1,5d41925ef7b99500012b960e,1,1,1,1,1,1,1,4,1,1,1,3,1,1,12,5d41925ef7b99500012b960e
04/12/2025 03:15,04/12/2025 03:19,0,100,243,1,04/12/2025 03:19,R_2q8Mwi2PDpxgK4K,anonymous,EN,1,5eaec18fbb7b8901200d16dd,1,3,1,1,1,1,1,1,1,1,1,1,1,1,13,5eaec18fbb7b8901200d16dd
04/12/2025 03:14,04/12/2025 03:21,0,100,460,1,04/12/2025 03:21,R_26aik6f7n0zngrf,anonymous,EN,1,5c6e60b04e08ad00018cc995,1,1,1,1,1,1,2,4,3,3,1,1,3,1,9,5c6e60b04e08ad00018cc995
04/12/2025 03:18,04/12/2025 03:22,0,100,211,1,04/12/2025 03:22,R_2Fmj0Pka0fh9EMs,anonymous,EN,1,62d6d7815de3a8625be3c0de,2,1,3,1,1,1,1,1,1,1,1,1,1,1,12,62d6d7815de3a8625be3c0de
04/12/2025 03:16,04/12/2025 03:22,0,100,339,1,04/12/2025 03:22,R_2rkwRfow397hRLa,anonymous,EN,1,5cdd4befd3651c001950e539,1,1,1,1,4,1,2,3,1,3,2,1,1,1,9,5cdd4befd3651c001950e539
04/12/2025 03:19,04/12/2025 03:22,0,100,187,1,04/12/2025 03:22,R_8BkQxqg354xkNpf,anonymous,EN,1,5bb7abf3c190e20001e5c2c8,1,1,1,1,2,1,1,1,1,1,1,1,1,1,13,5bb7abf3c190e20001e5c2c8
04/12/2025 03:11,04/12/2025 03:23,0,100,665,1,04/12/2025 03:23,R_2qWbWnuL6aAKQlw,anonymous,EN,1,671a5785170a0f6380c51f28,1,1,1,1,2,1,2,4,2,1,1,3,1,1,9,671a5785170a0f6380c51f28
04/12/2025 03:20,04/12/2025 03:23,0,100,139,1,04/12/2025 03:23,R_8d5p5fGNKfz3jkR,anonymous,EN,1,60f5d1dfd8ff71196982160b,3,1,1,1,4,1,2,4,1,1,2,3,1,1,8,60f5d1dfd8ff71196982160b
