StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,part3_id,SAQ01,MCQ01,SAQ02,MCQ02,SAQ03,MQ03,SAQ04,MCQ04,SAQ05,MCQ05,SAQ06,MCQ06,SAQ07,MCQ07,SC0,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","In ancient legend, how did Shennong, a divine farmer, discover tea while searching the forest for edible grains and herbs?",How was tea plant originally consumed?,Describe how matcha was made.,"In the 14th century, the Chinese emperor __________.",What three essential export goods gave China significant power and economic influence?,"At first, Britain paid for tea with __________, but when this proved too expensive, they began trading tea for __________.",Why did China cede Hong Kong to the British?,Why did the British East India Company commission botanist Robert Fortune to smuggle tea trees from China to India?,"What led to the creation of the clipper ship in the 19th century, which was at one point the world's fastest sailboat?",Tea is the __________ most consumed beverage in the world.,How was tea introduced to Japan in the 9th century?,"In the early 1600s, how did tea drinking spread around the world?","What is Queen Catherine of Braganza, a Portuguese noblewoman who married the King of England, credited for doing in the 1600s?","By 1700, tea in Europe sold for __________ the price of coffee.",Score,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""SC_6DtlLJCdfFq8rj0""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""PROLIFIC_PID""}"
29/04/2026 10:01,29/04/2026 10:05,IP Address,100,218,TRUE,29/04/2026 10:05,R_8o1jHNj0aqiSqpy,anonymous,EN,1,615cb147f04efc8a8c2ff1e5,By accident?,As a vegetable,Matcha was made by frothing up tea with water,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, silk and fine china/porcelin","silver, opium","To continue trading with the British, particularly exporting tea",To grow tea themselves and control the market,The competition to get tea to other countries as quickly as possible as the fastest ones made the most profit,second,I don't know,English traders brought tea to Europe,Bringing tea back to the UK and popularising it,10 times more than,6,complete,,,615cb147f04efc8a8c2ff1e5
29/04/2026 10:01,29/04/2026 10:05,IP Address,100,217,TRUE,29/04/2026 10:05,R_2VutNznwefWvyjD,anonymous,EN,1,66799043863669170269eedf,He picked it to eat,As a vegetable,It was made into a cake and then water was added,shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, porcelain, silk","silver, opium",In return for tea,To grow tea themselves and control the market,Exporting tea to other countries,second,By the Chinese culture,Dutch traders brought tea to Europe,Bringing tea to England,10 times more than,7,complete,,,66799043863669170269eedf
29/04/2026 10:03,29/04/2026 10:06,IP Address,100,185,TRUE,29/04/2026 10:06,R_2DfhZcCm6XfcanD,anonymous,EN,1,5f5a14224848f606446bbca8,He opened his mouth and if floated in,As a vegetable,"Tea leaves were dried, ground into a powder and then pressed into 'cakes'",shifted the standard from tea pressed into cakes to loose leaf tea,"Tea, and other things that unfortunately I can't remember.","silver, opium",Because it lost the opium wars,To grow tea themselves and control the market,Because tea was so popular companies wanted to get it over to England as quickly as possible to beat the competitors.,second,As matcha,Dutch traders brought tea to Europe,Introducing tea to England.,10 times more than,7,complete,,,5f5a14224848f606446bbca8
29/04/2026 10:02,29/04/2026 10:06,IP Address,100,255,TRUE,29/04/2026 10:06,R_8oHLAnvM2Fp8wI5,anonymous,EN,1,616fd2048c982b1d27653870,it flew into his mouth after being poisoned,As a vegetable,i cannot remember ,cut down on the export of porcelain and silk to make tea the main export good,I have no idea! i cannot remember ,"gold, opium",I cannot remember ,To make tea an everyday commodity,to enable quick delivery of tea ,second,i cannot remember ,Dutch traders brought tea to Europe,i cannot remember!,10 times more than,4,complete,,,616fd2048c982b1d27653870
29/04/2026 10:03,29/04/2026 10:07,IP Address,100,239,TRUE,29/04/2026 10:07,R_2Cg2tzJKwkaXQCB,anonymous,EN,1,56ab6fd869b24700065cbdbd,can not recall,As a vegetable,tea leafs made into a paste before steamed over boing water,shifted the standard from tea pressed into cakes to loose leaf tea,"silk, tea, porcelain","gold, opium",as part of the opium wars,To grow tea themselves and control the market,the race between competing countries and companies to get tea from the far east to market,second,do not know,English traders brought tea to Europe,making drinking tea fashionable,10 times more than,5,complete,,,56ab6fd869b24700065cbdbd
29/04/2026 10:03,29/04/2026 10:07,IP Address,100,287,TRUE,29/04/2026 10:07,R_2xY8GybEsmul8BK,anonymous,EN,1,5dee651e58776a51569d31f3,He found tea and made it into a sort of porridge with grains,As a vegetable,tea leaves and hot milk,shifted the standard from tea pressed into cakes to loose leaf tea,"tea, porcelain and silk gave China significant power and economic influence","silver, opium",because china lost the opium war to the British,To grow tea themselves and control the market,the race to get to Europe with the first tea of the season and thereby get the highest prices,second,by monks,Dutch traders brought tea to Europe,bringing tea to England and making it popular,10 times more than,7,complete,,,5dee651e58776a51569d31f3
29/04/2026 10:03,29/04/2026 10:08,IP Address,100,254,TRUE,29/04/2026 10:08,R_28NwOqnVe0cpFpy,anonymous,EN,1,5f835b913ffc5f0fd6bc7492,he was tasting different leaves and being poisoned when a tea leaf fell into his mouth and cured his poisoning ,As a drink,"grinding the tea leaves into a powder, adding water",cut down on the export of porcelain and silk to make tea the main export good,"tea, i can't remember the other two ","gold, opium",I dont remember ,To grow tea themselves and control the market,Tea exports? ,third,as a powder - matcha,English traders brought tea to Europe,I dont remember,half,1,complete,,,5f835b913ffc5f0fd6bc7492
29/04/2026 10:03,29/04/2026 10:08,IP Address,100,277,TRUE,29/04/2026 10:08,R_2JrMpCywCMmXMZ3,anonymous,EN,1,595d3afcdd044900012ce78a,a leaf fell into his mouth after he had poisoned himself,As a vegetable,"tea was dried, made into cakes and finely ground",shifted the standard from tea pressed into cakes to loose leaf tea,"tea, silk, porcelain","silver, opium",As part of the reparations for losing the Opium wars,To grow tea themselves and control the market,the tea trade and competition to be the fastest to bring tea to the UK,first,A plant was smuggled into Japan,Dutch traders brought tea to Europe,Introducing tea drinking,10 times less than,5,complete,,,595d3afcdd044900012ce78a
