"SAQ01","SAQ02","SAQ03","SAQ04","SAQ05","SAQ06","SAQ07"
"By accident?","Matcha was made by frothing up tea with water","Tea, silk and fine china/porcelin","To continue trading with the British, particularly exporting tea","The competition to get tea to other countries as quickly as possible as the fastest ones made the most profit","I don't know","Bringing tea back to the UK and popularising it"
"He picked it to eat","It was made into a cake and then water was added","Tea, porcelain, silk","In return for tea","Exporting tea to other countries","By the Chinese culture","Bringing tea to England"
"He opened his mouth and if floated in","Tea leaves were dried, ground into a powder and then pressed into 'cakes'","Tea, and other things that unfortunately I can't remember.","Because it lost the opium wars","Because tea was so popular companies wanted to get it over to England as quickly as possible to beat the competitors.","As matcha","Introducing tea to England."
"it flew into his mouth after being poisoned","i cannot remember ","I have no idea! i cannot remember ","I cannot remember ","to enable quick delivery of tea ","i cannot remember ","i cannot remember!"
"can not recall","tea leafs made into a paste before steamed over boing water","silk, tea, porcelain","as part of the opium wars","the race between competing countries and companies to get tea from the far east to market","do not know","making drinking tea fashionable"
"He found tea and made it into a sort of porridge with grains","tea leaves and hot milk","tea, porcelain and silk gave China significant power and economic influence","because china lost the opium war to the British","the race to get to Europe with the first tea of the season and thereby get the highest prices","by monks","bringing tea to England and making it popular"
"he was tasting different leaves and being poisoned when a tea leaf fell into his mouth and cured his poisoning ","grinding the tea leaves into a powder, adding water","tea, i can't remember the other two ","I dont remember ","Tea exports? ","as a powder - matcha","I dont remember"
"a leaf fell into his mouth after he had poisoned himself","tea was dried, made into cakes and finely ground","tea, silk, porcelain","As part of the reparations for losing the Opium wars","the tea trade and competition to be the fastest to bring tea to the UK","A plant was smuggled into Japan","Introducing tea drinking"
"i don't know (sorry)","Tea leaves are heated, then dried and made into a powder","Porcelain, silk and tea","Because of opium debt","There was a war, the opium wars and they needed a fast boat to bring tea to england","by a japanese monk and a tea ceremony","Bringing tea to England"
"tea leaves fell in his hot water by accident","grinding tea leaves into powder","tea silk and porcelain","Because they lost the opium war","demand for tea to be transported faster","Monks bringing it from China","introducing tea drinking to England"
"he poisoned himself 72 times then a tea leaf fell into his mouth and revived him","tea cakes were put into hot water","opium, tea, coffee","dont remember","dont remember","monk brought a plant with him","dont remember maybe ending exploiting workers?"
"Dont remember","Blending and straining leaves","TEA, HERBS, MEDICINE","To export goods","To send tea across the water in bulk","As leaves for making drinks","Serving tea at their wedding"
"I can't remember","It's made with a whisk","Silk, spices, tea","Because of the opium wars","The need for quicker transport","It was introduced via tea cakes","Popularising tea"
"I can't remember","I don't remember","tea, opium, rice","because of the importance of Hong Kong being an important port, vital to the export of tea","The importance of moving tea far quicker, across the world","From China","bringing tea to Europe"
"he ate something poisonous and by eating tea leaves it provided an anti dote","by drying the leaves and then grinding them up","porcelain, silk, tea","1842","so it was able to transport tea from overseas faster  thus maximising the profits","by monks returning from china","making tea drinking in england popular"
"He had poisoned himself and he accidentally tried a tea leaf and it cured him ","Tea leaves are made into a paste and then water is added","Porcelain, silk and tea","In the opium wars","Due to competitive the British build faster ships","Can't remember","Can't remember "
"In blew in his mouth whilst he was poisoned ","By stewing the leaves in water","Silk, Tea, spices","striking a deal due to the opium war","The rush to get tea back to the UK as fast as possible to keep the leaves fresher","Traders crossing the sea?","popularising tea being drunk"
"Leaf fell into water","using the tea leafs","tea, textiles ","opium war","transport tea","introduced by travelers","Making tea famous"
"A tea leaf fell into his mouth during his search in the forest","Matcha was made by taking tea leaves and grinding them into a fine powder","tea, silk and porcelain","Because of power struggles with regards to the opium war that they were losing","I can't remember maybe the clipper slip was created to export large amounts of tea across the world ","Tea was introduced to Japan by a japanese monk","She is credited for popularising tea in the UK"
"He fell asleep and a tea leaf fell into his mouth.","The tea was dried, finely ground and steeped in hot water. Pictures could be drawn in the foam on the top.","Tea, porcelain and silk.","As part of peace agreements after the opium wars.","Competition between tea importers.","Via a Chinese ambassador who brought tea with him.","Popularising tea in England"
"he would poison himself and the leaf will fall into his mouth and bring him back to life","drying the leaves and grinding into a smooth paste and making with hot water","porcelain, tea and silk","Due to someone stealing the plant","Due to large request for exportation of tea","not sure","using tea for ball and for gathering for wealthy and influencial"
"I can't remember","I can't remember","tea, silk, tobocco","I am not too sure about this","I can't remember","I am not too sure about this either","I can't remember"
"unsure....","unsure","tea, opium, gold?","after the opium wars?","to stop tea getting ruined enroute back to england","unsure","bringing tea to high society in europe?"
"It fell on his head!","Something to do with leaves.","Porcelain, silk and tea","Something to do with opium (opium wars).","To get tea to other countries as fast as possible to out pace their competitors.","Leaves dropping off a tree (?) and used for medicinal purposes.","Sorry, I don't recall."
"He poisoned himself and was able to cure himself with a leaf.","Heat tea, pack it into cakes, grind into a powder and mix with hot water.","Tea, silk, don't know","During the Opium War, they ceded Hong Kong to renew trading with Britain","Intense competition between European countries trying to bring tea back from China as quickly as possible.","A monk brought tea leaves to Japan","Making tea popular in the United Kingdom"
"He accident;y poisoned himself then a tea leaf fell into his mouth and he recovered","ground into powder","tea spices  pottery","Defeat in opium war","wanting to quickly get the tea from China to Europe","Buddist monks brought the tea leaves and plants into the country","popularising tea in England"
"Tea leaves accidentally fell into his boiling water","Tea leaves are dried and ground to produce a powder","Tea, Silk and Porcelain ","Because China lost the opium war","The need to transport goods between different countries/ for trade.","Monks brought tea leaves from China to Japan","She made tea drinking more popular"
"He was poisoned 14 times and a tea leaf fell into his mouth when he was sat under a tree and cured him","Steamed, dried & made into bricks","Tea, coffee & cotton","Opium war","Tea exportation","Buddhist monks on boats","Brought tea to england"
"He was poisoned by something and a tea leaf fell into his mouth and made him better.","Pouring hot water onto the tea leaves.","Tea, silk & cotton.","Because people were becoming addicted to opium and causing trouble. ","??","Monks having tea ceremonies.","Introducing tea to England"
"He had been eating plants and had been 8 times. He was slumped against a tree and a leaf blew into his mouth. He chewed the leaf and it cured him.","I cannot remember.","Silk, tea and opium","I don't remember","I don't remember","I don't remember","I don't remember"
"ate the wrong toxic leaf than ate a leaf that cure the sickness","tea leafs into powder and mix it with hot water","silk, tea, papers ","lost the opium war ","to transfer tea leafs ","a monk ","create a trend of drinking tea "
"He discovered tea by accent while experimenting with plants. He drank it and enjoyed the taste and found it gave him energy. ","it was powdered tea made from leaves that were dried an extra time ","Tea, silk and porcelain ","it was a peace deal as a result of defeat in the war against opium. British started giving china opium instead of silver as they were running out which caused major addictions in china. ","Transporting tea as quickly as possible between countries ","Via monks who were sent on missions to China and brought it back with them ","She popularised tea drinking in England. "
"He was bilingual a pot of water and a tea leaf fell into the pot. Tea was born!","Matcha was made by steaming and drying the leaves, then grinding them down into powder. The powder was then pressed into cakes.","Tea, silk, and porcelain.","After the British victory in the Opium Wars, China had to cede Hong Kong as part of their surrender.","The race to be the first traders to import tea into the west.","By travelling Buddhist monks.","She already had a taste for tea that she acquired in the Portuguese court. She brought her love of tea to England after her marriage and made it a fashionable and popular drink."
"He poisoned himself but chewed on a tea leave and was healed","It was made by infusing tea leaves","tea, opium, cotton","Because opium had to be banned","Importation of tea led to the creation of the clipper ship","It was brought ny monks","She introduced tea in England"
"he tried several leafs","grind tea leaves and pour water inside","silk and tea","because of the war","the demand","through monks","making tea popular"
"Ate tea leaf that cured him from other poisonous leaves","Adding hot water to tea leaves.","tea, porcelain and silk","During war","To be able to get to China from UK to get the valuable tea first ahead of any other country.","Tea plant was taken from China to Japan","Making tea popular"
"Not sure","It was compressed into cakes and ground into a powder.","Tea, silk and ceramics.","Because of the opium wars.","To sail to Japan to bring back tea and information about tea processes.","It was formed into cakes and ground into Matcha.","Bringing tea drinking practices to England and making tea popular."
"unknown","from green tea leaves","tea, ","at the end of the opium wars","Transporting the tea to Europe","brought over from China","introducing tea to Europe"
"He accidently ingested a leaf after poisoning himself while searching for edible plants. He discovered that the tea cured him.","Matcha was made by drying tea and pressing it into a cake and then crumbling it into liquid.","Can't remember.","To allow the tea trade to continue under favourable conditions.","Don't know.","Tea plants and tea workers were stolen from China by a botanist named Robert Fortune.","I don't know."
"He was poisoned by berries, and some tea leaves fell into his mouth and it cured him","It was ground up, and then mixed together with hot water","Porcelain, Tea and Silk","Because it lost the Opium Wars","To help compete with tea demand from around the globe","Through the Chinese people","Making tea popular to drink"
"A tea leaf drifted into his teapot","The leaves were turned into bricks and then ground into a powder when they were ready to prepare the drink. They then whisked it with hot water to turn it into tea.","Tea, porcelain and silk","After the issues with opium and war broke out and Britain has the stronger army and so China had no choice but to agree","China wanted be able to transport the tea over to Europe as quickly as possible and it was a race to deliver the first batch of fresh tea, so they needed to get it there as soon as possible to maximise on their time and money making. ","I cannot remember the answer to this one ","Queen Catherine was credited for raising the popularity of tea in Europe in the 1600s."
"wild tea leaves landed in his cup of water ","made from tea plants i think they grow for 3 or 4 months maybe a little less but not sure of specific details of what tea plants etc","i only know machinery is one of them ","i have no idea","it was due to a demand in tea ","it was sailed over to them from another country","im not sure "
"He got intoxicated after trying many herbs. Then a  leaf of tea tree got into his mouth and made him feel better","crushed tea leaves made a powder called matcha","tea, silk and ceramics ","because of the opium","for trade and  faster transfer of goods ","it was smuggled in Japan ","Queen Catherine introduced the tea in the palace "
"he was accidentally poisoned 72 times and a tea leaf flew into his mouth. He chewed it and was cured","by grinding tea to powder then mixing it with hot water","silk, tea and porcelain ","In the opium war, Britain defeated  Ming dynasty","as the demand for tea grew in Europe, there was a need for a fast way to deliver tea and so the ship was developed for fast transportation. ","it was brought to Japan by a Japanese monk","making tea famous in the English countries"
"He was repeatedly poisoning himself by testing which plants were toxic and one day a few leaves from a nearby plant fell into his hot water, he drank it and noticed it cured him. ","Tea leaves were steamed and then ground into a powder so it could be whisked into hot water.","Tea and Silk ","Opium war","exporting and importing tea leaves ","Not sure","I don't know? I don't recall this in the video"
"when he rested a leaf fell from a tree into a pot of water","using tea plants dried and ground into a powder","electronics, cars ","due to losing the wars","for a faster delivery of tea from china","by japanese monks","drinking tea"
"He accidentally ate a leaf after he was poisoned. ","tea leaves is ground into powder","Tea, Porcelain, silk","Britain used opium to exchange tea with China. Later China lost in the opium war and ceded Hong Kong to the British. ","Because British needed to transport tea from China to Europe ","A monk bought tea to Japan  ","she made tea popular"
"While testing herbs for medicine ","By grinding the tea leaves into powder ","Tea, spices and rice ","Because of the first opuim war. ","To speed up in global trade ","During the Tang Dynasty","She popularized the habit of drinking tea in England "
"He was searching for food and stumbled across it.","Steaming, drying and blending a matcha plant. Then you need to add hot water to it.","Opium, tea and matcha","The had a war and did not want to sell tea to them.","Britain lost a war and wanted to trade more for money.","Monks made it popular. ","She made drinking tea popular"
"I cannot recall","I think it was the loose leaves of tea grounded up and added with something ","Tea, opium, i cannot remember the 3rd thing im afraid","Because of the opium they were trading and China needed","The desire to be the fastest to get tea into Europe beating other countries","I have no idea im sorry i cannot remember","Making a cup of tea popular in the uk by it being in a bag?"
"He drank it after being exhausted from travelling","Matcha is made by fine powder by shading bushes, drying and grinding leaves until it becomes green powder.","opium, tea, porcelain/ceramic","military defeat","tea trade, intense trade","When they studied buddhism","drinking tea"
"They ingested the leaves to cure poisoning.","Finely ground tea cakes are mixed with hot water with a wooden whisk.","Tea, Porcelain, Silk.","As a settlement at the end of the Opium Wars along with resuming trade on less favourable terms.","A desire to bring shipments of tea back to europe faster than any other competitor to get the best prices.","I don't remember now.  I presume through trade.","I don't remember this being in the video but I'm guessing introducing tea as a hot drink to England."
"Can't remember","Don't know or recall","Porcelain, silk and tea","Military defeat in the so called Opium War","To compete with other European competitors in bringing tea to Europe quickly ","I think some connection to Matcha","Bringing tea to England"
"To cure poison","tea leaf","Tea, silk, porcelain","Don't remember","to meet economic demand","By some monk, returning from study","Drinking tea"
"he was poisoned, then tea leaves fell in his hot water, he drank it and was cured","green tea leaves steeped in hot water","silk, tea, metal","due to the opium wars - fighting over the tea, opium trade","i dont know","through trade","bringing tea to the english nobility and then the people"
"I forgot","Tea leaves were dissolved in hot water, and allowed to sit for 10 minutes or so","tea, opium and coffee","To end the opium war","I forgot","I forgot","She introduced tea in the royal family"
"A tea leaf blew into his drink","It was ground up into a powder and boiled","Tea, china and silk","They got beat in the war, something to do with opium being stolen ","Tea was popular so they needed to transport it quickly","Someone took a tea plant to Japan","Making tea popular"
"He was testing different herbs and leaves and poisoned himself, and discovered that eating tea leaves cured him.","By crushing up the macha leaves and forming them into a tight-knit block","Tea... can't remember anything else... silk?","Because the British exchanged tea for opium, which became a significant problem in China, which led to the Opium War, which led to China ceding Hing Kong to the British.","The competition between rival companies to transport tea from China to Europe","It was first used as a cooking ingredient?","Was it her who started using loose tea-leaves first?"
"Can't remember","Can't remember","Tea, silk, opium","Part of post war settlement","Demand for faster shipment of goods from the Far East","By British traders","Introduced tea drinking"
"Shennong has poisoned himself seven times and was on the verge of death when a tea leaf fell into his mouth and revived him.","Matcha was made by placing tea leaves into cakes, grinding that down in into powder and then added to boiling water. ","The three essential export goods that gave China significant power and economic influence were: tea, silk and porcelain. ","China ceded Hong Kong to the British as a result of the Opium War. ","The clipper ship was created to transport tea to other countries. ","China traded tea with Japan
","Queen Catherine of Braganza was credited for bringing tea to England in the 1600s.
"
"he was poisoned by loads of things then a tea leaf fell into his mouth and cured him","i remember learning something about this but don't remember what. ","tea, silk and something else","i do not remember this at all","needing faster transports","no idea sorry","bringing tea to the uk"
"He got poisoned and whilst in the forest, a tea leaf fell in his mouth and cured him.","They decided to make it into a powder instead of loose leaf.","Tea, silk","They lost the war. ","Everyone wanted to buy tea, and as China was the only country to grow and sell it, everyone was competing to get it first.","Through trade","Introducing tea to England."
"The leaves fell into his boiling water","dried leaves are ground into a fine powder","Porcelain, Tea and silk","As part of a treaty with other ports, the British used","They were fast and able to dominate the market","It came from China","She is credited with introducing tea to England "
"A leaf blew into his mouth","powdered tea which was then added to water","Tea, ceramic and rice","Because of the war
","trade pressure to increase speed ","as a powder","Polularising drinking tea amongst aristocracy"
"Supposedly he was trying a bunch of different plants and got dozens of diseases from certain plants, and when he ate the tea plant this cured him from the other diseases.","Tea leaves refined into powder form.","'- Tea
- Silk","I can't remember but it was in relation to the British getting Chinese citizens hooked on Opium due to the exports.","The need for faster shipping worldwide.","I cannot remember.","She brought tea drinking to Britain."
"He found the plant and ate some of the leaf","I don't know","Tea, silk and porcelain","I don't know","To get the tea from China as quickly as possible to get the highest price","I don't know","I don't know"
