SAQ01,SAQ02,SAQ03,SAQ04,SAQ05,SAQ06,SAQ07
2,2,10,2,8,0,6
2,4,10,0,2,0,4
4,4,4,8,6,0,4
8,0,0,0,4,0,0
0,4,10,8,8,0,6
2,0,10,10,8,4,8
8,4,4,0,2,0,0
8,4,10,8,8,4,2
0,4,10,4,4,8,4
8,2,10,8,4,6,4
8,4,4,0,0,8,0
0,0,4,0,2,0,2
0,2,7,8,2,4,6
0,0,4,2,4,0,2
8,2,10,0,4,4,8
8,2,10,8,2,0,0
8,2,7,8,4,0,6
4,0,4,8,4,2,2
4,2,10,8,2,10,6
4,4,10,8,6,4,8
8,4,10,0,2,0,2
0,0,7,0,0,0,0
0,0,4,8,2,0,2
0,0,10,8,4,0,0
4,10,7,10,10,10,6
10,2,4,8,6,8,8
8,2,10,10,2,10,6
8,2,4,8,2,4,4
8,2,7,4,0,6,4
10,0,7,0,0,0,0
8,4,7,8,2,4,2
2,2,10,10,4,6,8
4,8,10,10,6,4,8
8,0,4,4,2,6,8
2,4,7,4,0,4,6
8,2,10,4,2,4,6
0,4,7,8,4,0,8
0,0,4,8,6,2,2
8,2,0,0,0,2,0
8,4,10,8,2,0,6
4,4,10,10,10,0,6
4,0,0,0,2,0,0
4,2,7,4,2,2,6
10,4,10,10,6,8,4
4,8,7,8,2,0,0
4,2,0,4,4,6,2
10,2,10,10,6,8,6
0,2,4,4,2,0,8
0,4,4,4,0,4,6
0,2,4,6,6,0,6
0,2,7,0,2,0,2
2,8,10,8,6,0,4
0,0,10,8,6,0,4
2,0,10,0,0,4,2
8,2,7,8,0,0,6
0,2,4,8,0,0,8
4,2,10,8,4,6,6
8,0,7,10,10,0,2
0,0,7,4,2,0,6
8,8,10,10,4,4,4
8,0,7,0,2,0,2
8,2,7,4,6,0,4
2,2,10,6,2,0,4
8,4,4,4,2,0,4
8,2,7,6,2,0,2
4,0,10,0,4,0,0
8,4,10,8,4,4,6
8,10,10,4,4,4,6
2,2,7,8,2,8,6
0,4,10,4,2,6,0
8,2,7,0,4,4,4
2,2,7,6,4,0,4
0,4,10,0,4,0,4
10,4,0,6,4,4,8
8,4,10,10,10,0,2
0,0,4,8,4,0,6
4,4,7,8,10,0,8
4,4,10,8,4,4,8
2,0,7,6,10,8,4
8,8,10,10,8,10,10
4,8,4,8,2,4,8
0,4,10,4,6,0,2
10,8,10,10,4,8,6
2,0,10,4,6,10,6
4,4,10,8,4,0,0
8,2,7,4,8,0,0
8,4,7,8,4,0,2
8,4,10,10,6,4,6
2,2,10,4,8,8,2
8,8,10,10,2,2,6
0,2,4,0,4,0,4
8,2,7,0,2,0,0
10,4,10,10,2,4,8
2,4,4,0,2,0,2
0,4,7,8,2,4,6
8,2,7,4,4,0,4
4,0,10,0,4,0,4
4,0,0,8,8,4,2
2,2,10,4,2,0,0
2,2,10,8,4,4,6
8,8,7,8,8,0,6
0,8,10,8,4,0,6
0,2,7,4,2,0,2
2,4,10,0,2,0,6
8,2,7,0,4,2,2
10,2,10,8,10,6,6
10,10,10,0,4,6,6
4,2,10,10,4,6,8
0,8,10,0,2,4,6
2,2,10,0,2,0,2
2,4,4,8,4,4,8
8,2,4,10,6,4,6
8,4,10,2,0,0,6
10,2,10,0,6,0,6
4,0,4,8,4,8,0
0,2,10,8,4,4,4
8,0,10,8,2,6,8
10,10,10,10,8,10,10
2,2,10,10,10,10,2
0,2,4,0,4,0,2
4,2,0,0,0,4,6
0,8,7,8,4,0,8
0,8,0,8,6,0,0
10,4,7,8,4,0,0
8,2,10,4,4,4,6
4,8,10,10,8,10,8
4,2,10,0,4,6,4
4,0,7,6,0,0,4
4,4,10,10,4,4,8
2,2,4,0,2,0,0
0,2,10,2,6,0,2
2,4,7,0,0,0,0
4,2,10,4,6,4,2
4,2,7,6,6,0,4
4,8,7,10,4,0,2
4,2,7,0,2,4,8
8,4,10,8,2,2,4
4,2,10,8,6,10,6
0,0,7,10,2,0,2
2,2,10,0,2,0,4
10,2,4,8,6,4,6
0,4,7,6,0,0,0
2,4,4,4,2,0,2
2,0,7,0,2,0,4
4,0,4,4,4,4,2
4,4,10,8,2,10,8
0,4,10,10,4,0,6
8,2,4,8,0,8,8
2,4,7,0,4,2,0
10,0,7,0,2,0,0
8,4,7,6,6,0,4
8,4,4,10,8,6,8
4,2,7,8,2,4,8
0,2,4,0,2,0,6
8,8,10,8,2,6,8
8,2,10,0,4,2,0
10,2,0,0,4,2,0
8,0,10,10,2,0,8
0,0,7,0,2,0,2
4,2,10,4,0,2,0
2,2,4,8,4,0,2
0,4,10,0,4,0,0
0,0,7,8,0,8,6
4,4,10,8,0,0,0
0,8,10,2,8,0,0
10,2,7,8,6,0,6
4,2,7,0,4,0,8
0,0,10,4,4,2,6
0,4,0,0,0,0,0
8,4,4,0,6,0,6
2,4,7,0,4,0,4
0,2,7,6,6,2,8
2,8,10,0,4,4,4
4,2,10,8,4,4,6
0,2,4,8,4,0,8
4,4,10,0,2,0,0
4,4,7,4,4,2,2
8,4,10,10,10,10,10
2,2,4,0,8,0,4
4,4,10,8,4,8,4
8,2,10,8,2,6,2
0,2,7,10,4,4,2
8,4,7,4,8,0,2
0,8,7,6,4,0,2
4,2,10,8,4,4,8
2,2,10,8,2,4,6
2,2,7,8,4,4,6
8,4,7,10,6,4,4
8,0,10,10,6,10,10
2,4,7,6,8,0,2
0,0,0,0,2,0,6
4,0,0,8,8,0,6
2,2,7,8,0,0,0
2,2,4,0,0,0,0
8,2,7,6,10,6,4
0,4,10,10,6,4,8
2,2,10,10,6,6,8
4,2,4,0,4,0,8
8,10,10,10,4,6,2
0,2,4,0,4,0,2
0,0,7,0,4,0,0
0,0,0,4,0,0,0
