SAQ01,SAQ02,SAQ03,SAQ04,SAQ05,SAQ06,SAQ07
I don't remember,from the fresh tea leaves.,"tea, silk",I don't remember,tea trades,as food first.,Spreading the tea across UK
0,1,7,0,2,1,2
he consumed poison but was cured by yea,was it ground up leaves,tea but i dont remember what else,to avoid further conflict over ports,there was a race to be the first to get tea to the market so having the fastest ship meant you could be first and get the best price,it was taken on boats,Making it popular
6,2,3,3,4,1,2
I can't remember,I don't remember,"tea, opium, rice","because of the importance of Hong Kong being an important port, vital to the export of tea","The importance of moving tea far quicker, across the world",From China,bringing tea to Europe
0,0,3,2,4,1,1
it blew into his mouth and saved him after he ate something poisonous,"the leaves are dried, crushed then steeped in hot water",tea silk pottery,because the British were attacking them because they refused to trade tea for opium as the Chinese population became addicted and suffering,a race to bring tea to the western world fastest,a plant was taken over by a monk,bringing tea drinking to English culture 
8,6,8,9,6,8,7
"He ate a leaf and it treated his poison, it then led to tea",it was made by mixing a powder and mixing it with tea,Tea,I am unsure ,to speed up delivery due to competition,I am unsure,Making tea popular in britain
4,2,3,0,2,0,7
I cannot recall,I think it was the loose leaves of tea grounded up and added with something ,"Tea, opium, i cannot remember the 3rd thing im afraid",Because of the opium they were trading and China needed,The desire to be the fastest to get tea into Europe beating other countries,I have no idea im sorry i cannot remember,Making a cup of tea popular in the uk by it being in a bag?
0,3,3,2,8,0,4
"According to the ancient legend, a leaf drifted into Shennong’s mouth after he had accidentally poisoned himself, and when he chewed it, it revived him, leading to the discovery of tea.","Matcha was made by heating tea leaves, packing them into portable cakes, grinding them into powder, and then mixing the powder with hot water to create a beverage.","Tea, porcelain, and silk.",China ceded Hong Kong to the British because it was defeated in the First Opium War and had to resume trading on unfavourable terms.,Intense competition between Western trading companies to bring tea back to Europe first and maximize profits led to the creation of the clipper ship.,Tea was introduced to Japan in the 9th century when a Japanese monk brought the first tea plant from China to Japan.,She is credited with making tea popular among the English aristocracy after marrying King Charles II in 1661.
9,10,10,10,10,10,10
He got intoxicated after trying many herbs. Then a  leaf of tea tree got into his mouth and made him feel better,crushed tea leaves made a powder called matcha,"tea, silk and ceramics ",because of the opium,for trade and  faster transfer of goods ,it was smuggled in Japan ,Queen Catherine introduced the tea in the palace 
8,3,8,2,2,1,6
It fell from a tree,By crushing tea leaves and mixing them with milk/water,"tea, opium and tobacco ",because it was a strong port to be exporting goods into Europe,The need to be importing tea into Europe,through China,Starting the afternoon tea culture
1,4,3,1,5,1,1
"I really cannot remember, sorry!!",Hot water was poured over the powder and whisked gently to create the tea...,"Silk, Tea and Porcelain","As part of the peace settlement to end the Opium Wars, it was one of the concessions that China made to the British. Hong Kong was strategically located.",It was to get the tea from China and bring it back to Europe as quickly as possible in order to get it to the market quickly.  Whoever could get to market first would make more money.,"Gosh, I can't remember - someone travelled to Japan with the tea.",Making tea drinking popular in England.
0,4,10,10,9,2,7
